r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
11.7,318.551998,318.562134,296.423446,296.391309,276.634520,276.501827,264.543720,264.606987,251.117435,251.227177,239.220093,239.257758,230.012112,230.120686,224.844926,225.020790
11.8,317.395069,317.432620,296.291039,296.221030,276.404540,276.310256,264.166781,264.242007,251.122736,251.280602,238.794618,238.631655,230.307329,230.469369,225.334315,225.312881
11.9,316.974374,316.988509,295.960116,295.909702,276.178044,276.155480,264.618992,264.781854,251.423670,251.537059,238.513277,238.363700,231.202170,231.316543,225.611684,225.675999
12,316.169435,316.172196,294.344790,294.308675,276.022560,276.090728,264.844323,265.078075,251.463645,251.576781,238.168378,238.144104,231.981254,232.096461,226.042581,226.157518
12.1,315.857430,315.859453,293.929913,293.931963,276.010280,276.063723,264.473662,264.708811,251.686200,251.615129,237.907552,237.757885,232.446232,232.655596,225.960025,226.059792
12.2,315.464058,315.465291,293.057728,293.085020,275.705027,275.778399,264.416780,264.594256,251.840595,251.921000,237.968720,238.050645,232.837913,233.006696,226.397093,226.461144
12.3,315.318579,315.320568,292.613479,292.662929,275.163583,275.246621,264.137147,264.270720,251.395130,251.410051,237.739697,237.899882,232.629305,232.865637,226.976546,226.852939
12.4,315.822836,315.824992,292.216542,292.289910,274.781115,274.863323,263.823857,263.906679,251.299337,251.307541,238.170201,238.230255,232.549651,232.956094,226.670033,226.734758
12.5,316.065893,316.058507,292.173979,292.262021,274.939546,275.031375,263.646903,263.665346,251.978857,251.901874,238.480589,238.501795,232.960264,233.328721,226.789421,226.924530
12.6,316.415995,316.413383,292.352439,292.506716,275.046739,275.122674,263.668765,263.555187,252.375017,252.249366,239.019470,239.026074,232.902194,233.068440,226.239787,226.612218
12.7,316.745672,316.743633,292.723407,292.856875,274.477922,274.540267,264.114134,264.011797,252.548514,252.365289,239.671233,239.558490,232.857690,232.917400,226.236723,226.578887
12.8,317.494251,317.493038,293.250789,293.344806,273.821156,273.850029,264.759517,264.642815,252.385425,252.181966,240.216088,240.206135,232.774491,232.892936,225.719708,226.134246
12.9,317.939234,317.919103,293.608382,293.670035,273.656653,273.720145,264.550125,264.444875,252.673595,252.431062,240.054525,240.167227,232.748847,232.645369,225.902313,226.097533
13,318.606358,318.627562,294.182108,294.296159,274.318353,274.244585,265.082892,264.976688,252.562728,252.324220,240.138121,240.258644,232.213165,232.119249,225.944568,226.097030
13.1,319.023154,319.082163,294.814139,294.844623,274.293648,274.199393,264.542419,264.549915,252.354309,252.092483,239.456847,239.547702,231.812903,231.557553,225.613045,225.720558
13.2,319.699039,319.750877,295.360461,295.370944,274.265573,274.152106,265.112808,265.188891,252.642519,252.409850,239.231279,239.214925,231.570250,231.382144,225.201552,225.524557
13.3,319.901208,319.965346,296.064082,296.059354,274.305503,274.116953,264.758753,264.832281,252.149814,251.967313,238.884607,238.772483,231.610432,231.434828,224.695638,225.085091
13.4,319.825119,319.891630,296.205350,296.205748,274.769923,274.547957,264.917933,264.948829,251.640872,251.451080,238.999009,239.001319,232.026047,231.774542,224.382021,224.788863
13.5,320.204610,320.267560,295.881482,295.890087,275.168818,275.004674,264.698315,264.754996,251.537983,251.305061,239.201795,239.151085,231.729588,231.533717,224.212606,224.665640
13.6,319.151454,319.194820,296.005579,296.018963,275.527106,275.380493,264.341911,264.384862,251.732540,251.600563,238.893864,238.856640,231.356438,231.219667,224.327714,224.654914
13.7,318.606772,318.628193,296.111297,296.148617,276.353417,276.214424,264.604389,264.559621,251.513128,251.405784,238.932123,238.884064,231.385309,231.261839,224.793910,225.014593
13.8,318.452818,318.455318,296.163901,296.245119,275.933686,275.817324,264.251670,264.181502,250.891442,250.861587,239.050139,239.083166,231.289835,231.134729,224.652554,224.829119
13.9,317.731052,317.739420,296.025721,296.100256,275.767573,275.668334,264.209039,264.158523,249.947735,249.960844,239.035548,239.207011,231.272594,231.035915,224.974276,225.231326
14,317.643745,317.633147,295.684986,295.796030,275.788524,275.676550,264.086068,263.975631,250.051026,250.181662,239.100312,239.238520,231.724299,231.617749,225.014604,225.327615
14.1,317.764352,317.747510,294.911519,295.040416,276.128301,276.075086,264.016809,263.924147,250.054058,250.265548,238.855388,238.984293,231.509377,231.565604,225.608029,225.836459
14.2,317.852869,317.821855,294.971933,295.061644,275.978288,275.987172,263.846297,263.755386,249.722993,249.997713,238.949922,239.127455,231.201972,231.346865,226.200363,226.410812
14.3,318.056561,318.026740,295.038549,295.133049,275.550821,275.498533,263.549323,263.490921,250.181638,250.412262,238.855752,239.145077,231.391872,231.626218,226.478291,226.721607
14.4,318.481546,318.416529,295.127480,295.209816,275.551639,275.517478,263.698673,263.667561,250.309712,250.545294,238.545647,238.859320,231.178339,231.410654,226.555915,226.781141
14.5,318.365384,318.291761,295.140731,295.214785,275.846431,275.792861,264.002206,263.983002,250.115036,250.257046,238.297325,238.633014,231.539561,231.798953,226.846644,227.065086
14.6,318.081529,318.032867,294.913141,294.962330,275.469836,275.440195,264.568928,264.564457,250.760494,250.845343,238.678292,238.960793,231.920178,232.013120,227.673770,227.789297
14.7,318.136274,318.109434,295.097755,295.108077,275.291423,275.244233,264.830334,264.856608,251.110913,251.158092,238.818186,239.050102,232.206830,232.270605,227.410396,227.547441
14.8,318.141330,318.140678,295.238770,295.262539,275.680912,275.702929,264.690297,264.707748,251.411068,251.349363,239.715066,239.794784,232.442888,232.519317,226.958451,227.104904
14.9,317.966933,317.970768,295.177864,295.191447,275.662177,275.624515,264.789151,264.771368,251.388666,251.269434,240.167269,240.283888,232.411916,232.423478,226.563868,226.702329
15,318.216506,318.229782,295.014389,295.025131,275.516275,275.483510,264.520693,264.569934,251.877000,251.651757,240.073677,240.111838,232.319678,232.266272,226.443639,226.559582
