r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,0.000783956004,100000,1.0,0,3355,3354,1118
1.900000,0.005220880384,100000,1.0,0,3355,3354,1118
2.000000,0.026307824804,100000,1.0,0,3355,3354,1118
2.100000,0.121126007140,100000,1.0,0,3355,3354,1118
2.200000,0.439068535725,100000,1.0,0,3355,3354,1118
2.300000,1.482932751275,100000,1.0,0,3355,3354,1118
2.400000,4.201385318457,100000,1.0,0,3355,3354,1118
2.500000,10.259659849840,100000,1.0,0,3355,3354,1118
2.600000,21.512950903753,100000,1.0,0,3355,3354,1118
2.700000,36.437034229099,100000,1.0,0,3355,3354,1118
2.800000,46.885220732928,100000,1.0,0,3355,3354,1118
2.900000,44.925133960674,100000,1.0,0,3355,3354,1118
3.000000,31.370036197674,100000,1.0,0,3355,3354,1118
3.100000,11.009186602230,100000,1.0,0,3355,3354,1118
3.200000,-10.157437760605,100000,1.0,0,3355,3354,1118
3.300000,-29.786761449446,100000,1.0,0,3355,3354,1118
3.400000,-45.736401618091,100000,1.0,0,3355,3354,1118
3.500000,-57.455631340069,100000,1.0,0,3355,3354,1118
3.600000,-64.667226986569,100000,1.0,0,3355,3354,1118
3.700000,-68.542526718350,100000,1.0,0,3355,3354,1118
3.800000,-68.293254701838,100000,1.0,0,3355,3354,1118
3.900000,-65.269786935406,100000,1.0,0,3355,3354,1118
4.000000,-60.322532119766,100000,1.0,0,3355,3354,1118
4.100000,-54.867974283879,100000,1.0,0,3355,3354,1118
4.200000,-49.388490630136,100000,1.0,0,3355,3354,1118
4.300000,-44.075635423680,100000,1.0,0,3355,3354,1118
4.400000,-39.194974019465,100000,1.0,0,3355,3354,1118
4.500000,-34.345782919407,100000,1.0,0,3355,3354,1118
4.600000,-29.436060373878,100000,1.0,0,3355,3354,1118
4.700000,-24.419557746313,100000,1.0,0,3355,3354,1118
4.800000,-19.608826541383,100000,1.0,0,3355,3354,1118
4.900000,-14.135950310844,100000,1.0,0,3355,3354,1118
5.000000,-9.272645536898,100000,1.0,0,3355,3354,1118
5.100000,-4.651021836184,100000,1.0,0,3355,3354,1118
5.200000,-0.975624962130,100000,1.0,0,3355,3354,1118
5.300000,1.583648283464,100000,1.0,0,3355,3354,1118
5.400000,2.866140351051,100000,1.0,0,3355,3354,1118
5.500000,2.362516237198,100000,1.0,0,3355,3354,1118
5.600000,-0.414970386718,100000,1.0,0,3355,3354,1118
5.700000,-4.582737875896,100000,1.0,0,3355,3354,1118
5.800000,-9.680954313242,100000,1.0,0,3355,3354,1118
5.900000,-15.122711311069,100000,1.0,0,3355,3354,1118
6.000000,-20.326546008476,100000,1.0,0,3355,3354,1118
6.100000,-24.643279238325,100000,1.0,0,3355,3354,1118
6.200000,-27.941246530137,100000,1.0,0,3355,3354,1118
6.300000,-29.980261884509,100000,1.0,0,3355,3354,1118
6.400000,-31.192722414693,100000,1.0,0,3355,3354,1118
6.500000,-31.814398169872,100000,1.0,0,3355,3354,1118
6.600000,-31.787508690014,100000,1.0,0,3355,3354,1118
6.700000,-31.417618155832,100000,1.0,0,3355,3354,1118
6.800000,-30.633985271384,100000,1.0,0,3355,3354,1118
6.900000,-29.830565554954,100000,1.0,0,3355,3354,1118
7.000000,-29.296696424392,100000,1.0,0,3355,3354,1118
7.100000,-28.241447260207,100000,1.0,0,3355,3354,1118
7.200000,-27.305915862929,100000,1.0,0,3355,3354,1118
7.300000,-26.057150225254,100000,1.0,0,3355,3354,1118
7.400000,-25.258181939324,100000,1.0,0,3355,3354,1118
7.500000,-24.367188143085,100000,1.0,0,3355,3354,1118
7.600000,-23.656610314285,100000,1.0,0,3355,3354,1118
7.700000,-22.660003941977,100000,1.0,0,3355,3354,1118
7.800000,-21.752557772378,100000,1.0,0,3355,3354,1118
7.900000,-20.874496253089,100000,1.0,0,3355,3354,1118
8.000000,-19.779558514321,100000,1.0,0,3355,3354,1118
8.100000,-19.000389429305,100000,1.0,0,3355,3354,1118
8.200000,-18.933568819440,100000,1.0,0,3355,3354,1118
8.300000,-18.838541015414,100000,1.0,0,3355,3354,1118
8.400000,-18.765520798456,100000,1.0,0,3355,3354,1118
8.500000,-18.922047146035,100000,1.0,0,3355,3354,1118
8.600000,-19.251912490551,100000,1.0,0,3355,3354,1118
8.700000,-19.357154608050,100000,1.0,0,3355,3354,1118
8.800000,-19.820240660709,100000,1.0,0,3355,3354,1118
8.900000,-20.264691338474,100000,1.0,0,3355,3354,1118
9.000000,-20.525537432750,100000,1.0,0,3355,3354,1118
9.100000,-21.211642336707,100000,1.0,0,3355,3354,1118
9.200000,-21.750299737964,100000,1.0,0,3355,3354,1118
9.300000,-22.159643330740,100000,1.0,0,3355,3354,1118
9.400000,-22.276997887032,100000,1.0,0,3355,3354,1118
9.500000,-22.934405967799,100000,1.0,0,3355,3354,1118
9.600000,-23.646158750550,100000,1.0,0,3355,3354,1118
9.700000,-23.940468488848,100000,1.0,0,3355,3354,1118
9.800000,-24.554060120131,100000,1.0,0,3355,3354,1118
9.900000,-24.942936448289,100000,1.0,0,3355,3354,1118
10.000000,-25.260310950840,100000,1.0,0,3355,3354,1118
10.100000,-25.122167475684,100000,1.0,0,3355,3354,1118
10.200000,-24.838655420178,100000,1.0,0,3355,3354,1118
10.300000,-24.901799421770,100000,1.0,0,3355,3354,1118
10.400000,-24.591254449392,100000,1.0,0,3355,3354,1118
10.500000,-24.477367115576,100000,1.0,0,3355,3354,1118
