r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
10.7,328.234929,328.224516,304.017577,304.026005,283.063385,283.077623,273.678931,273.461260,260.415471,260.353127,248.477480,248.766828,240.597891,240.543952,234.430174,234.651096
10.8,328.903782,328.904321,304.502436,304.522817,283.268937,283.290661,273.803155,273.614020,260.764442,260.699666,248.966713,249.179043,240.683233,240.679475,234.235613,234.468115
10.9,329.899900,329.886911,304.882647,304.926014,283.761406,283.802669,273.701143,273.477592,260.761442,260.647905,249.409852,249.527791,241.181748,241.209586,234.101403,234.271510
11,330.123291,330.133751,304.958994,305.017266,284.481876,284.464054,273.521979,273.336538,261.163851,261.073402,249.677272,249.730087,240.931284,241.096402,233.887810,234.047264
11.1,330.353412,330.369029,305.400600,305.479169,284.706571,284.632381,273.422230,273.344214,261.102780,261.026431,249.892215,249.937895,240.974143,241.001065,233.697103,234.089717
11.2,330.282381,330.291430,305.784592,305.867239,284.881130,284.790031,273.658372,273.663874,260.812237,260.795549,250.103142,250.114304,241.170470,240.981185,233.988406,234.349033
11.3,330.136936,330.154048,306.033366,306.113129,285.556644,285.511977,273.469701,273.576320,260.736436,260.860456,250.572480,250.510885,241.444802,241.155941,234.667219,235.009349
11.4,330.233337,330.241722,306.228106,306.276877,285.918985,285.898026,273.977429,274.128376,260.834322,260.980314,250.846395,250.769618,241.068268,240.771514,234.620560,235.045149
11.5,330.101691,330.126000,305.658164,305.693213,285.803514,285.807333,273.869236,273.979020,261.101868,261.210961,250.578333,250.413060,240.843153,240.551263,235.074874,235.409501
11.6,329.608654,329.627276,305.808184,305.835756,285.852128,285.866805,274.103070,274.145070,261.132155,261.159615,250.411550,250.321116,241.349438,241.149978,235.307940,235.383193
11.7,328.656881,328.668501,305.569342,305.583321,286.192840,286.170449,274.311240,274.328080,261.073158,261.058156,250.202986,250.102303,241.468582,241.378248,235.472242,235.666408
11.8,327.870283,327.895634,305.532089,305.524603,286.166893,286.157460,274.448865,274.414835,260.986751,260.964017,249.397980,249.243573,241.297402,241.257793,235.780402,235.838980
11.9,327.344944,327.354770,305.471672,305.471438,286.002421,285.960858,274.315808,274.324795,261.138248,261.085426,248.754994,248.586279,241.677777,241.668358,236.328542,236.477377
12,326.668500,326.654288,304.711751,304.723573,285.486914,285.485097,274.258826,274.342261,260.909009,260.851011,248.369482,248.251626,241.986988,242.030096,236.615462,236.779248
12.1,326.500482,326.495918,304.400756,304.447084,285.478066,285.409724,273.941507,274.006991,261.072661,260.909859,247.842917,247.709585,242.370789,242.476856,236.621047,236.771327
12.2,326.165663,326.177628,303.554526,303.610459,285.315378,285.184809,273.749248,273.823517,261.160630,261.125902,247.461534,247.406498,242.503538,242.581875,236.992214,237.161958
12.3,326.150305,326.173591,303.248066,303.306316,285.069521,284.936938,273.578008,273.689113,261.022755,260.971296,247.040901,247.088549,242.350923,242.494230,237.422715,237.334030
12.4,326.430651,326.463828,303.072397,303.105630,284.544587,284.412960,273.277664,273.417368,261.296305,261.356601,247.385601,247.429452,242.205324,242.377599,236.895269,236.908032
12.5,326.572200,326.592735,302.920969,302.959361,284.484376,284.377331,272.689270,272.831255,261.334147,261.390178,247.529622,247.530421,242.419463,242.582645,236.793168,236.842530
12.6,326.714121,326.745864,303.084406,303.171903,284.150647,284.071573,272.535594,272.602595,261.331522,261.397524,247.762559,247.781471,242.410113,242.456566,236.262159,236.381062
12.7,326.896783,326.921965,302.975443,303.072411,283.490801,283.450777,272.761560,272.842773,261.114346,261.127394,248.184155,248.149911,242.059267,242.078588,235.523559,235.657139
12.8,326.776586,326.805607,302.558019,302.645542,282.920391,282.912589,272.971584,272.963142,260.702486,260.720468,248.343740,248.442913,241.775696,241.832596,234.746681,234.857277
12.9,326.997993,327.011966,302.234771,302.291340,282.613152,282.664359,272.648133,272.618412,260.376581,260.422121,248.159331,248.294111,240.946578,240.872489,234.292401,234.374528
13,327.189412,327.209774,302.368968,302.450252,282.718992,282.728169,273.062588,273.010466,259.838282,259.810843,248.107888,248.242061,240.059924,240.036874,233.888417,234.006864
13.1,326.910109,326.944274,302.260316,302.275591,282.604187,282.588912,272.309335,272.300446,259.746872,259.672946,247.398239,247.447705,239.422347,239.299891,232.925118,233.085187
13.2,327.175835,327.199395,302.119578,302.128652,282.145791,282.142429,272.196932,272.196978,259.448486,259.326516,247.042294,246.955255,238.638723,238.570369,232.245929,232.587949
13.3,326.963270,326.985678,302.159493,302.166368,281.965629,281.920107,271.730248,271.697548,258.695775,258.579836,246.151929,245.985057,237.964235,237.934442,231.611956,232.032964
13.4,326.364176,326.383758,301.867295,301.845970,281.948599,281.872442,271.865996,271.835947,258.303471,258.163918,246.084740,245.967321,237.691564,237.555362,231.477016,231.870574
13.5,326.379959,326.405335,301.572504,301.529883,281.687612,281.632786,271.733212,271.711267,258.245565,258.121022,245.869139,245.740494,237.136334,237.007041,231.295535,231.658235
13.6,325.297192,325.319224,301.728710,301.685123,281.478193,281.447667,271.152808,271.149668,258.242488,258.152940,245.637044,245.491551,237.045238,236.886264,231.408598,231.680828
13.7,324.782325,324.801631,301.962873,301.932762,281.982726,281.945999,270.961674,270.920404,258.194852,258.127133,245.607122,245.460005,236.985827,236.836805,231.881787,232.218121
13.8,324.450855,324.464190,302.327129,302.335230,281.962244,281.945485,270.875624,270.814502,257.684761,257.682869,245.633339,245.558174,237.315066,237.150001,232.029121,232.294608
13.9,324.389899,324.408281,302.746584,302.753881,282.359210,282.359059,271.139263,271.116786,257.307397,257.321665,245.865402,245.860046,237.563286,237.353177,232.304696,232.562150
14,325.010884,325.021252,303.106225,303.147283,283.051733,283.044039,271.400709,271.333290,257.486004,257.569389,246.292450,246.271512,238.648259,238.442535,232.540695,232.734839
14.1,326.063029,326.070017,303.378168,303.422171,283.939453,283.949131,271.792344,271.746504,257.949362,258.070903,246.979394,246.954080,239.343666,239.263582,233.339976,233.522737
14.2,326.871644,326.877397,304.486357,304.528871,284.636706,284.690568,272.474140,272.426309,258.651513,258.789977,247.857068,247.899910,239.974088,239.990261,234.323405,234.494445
14.3,328.020598,328.019567,305.277580,305.341597,285.360325,285.356395,273.311265,273.285128,259.870444,259.952387,248.688542,248.834718,241.474468,241.525558,235.500606,235.666240
14.4,329.445058,329.422353,306.307057,306.389288,286.386047,286.330052,274.306530,274.289664,261.214672,261.339719,249.751947,249.955662,242.834387,242.858518,236.409573,236.503128
14.5,330.507849,330.470049,307.321041,307.408224,287.320357,287.202862,276.157145,276.118065,262.554180,262.630137,250.951128,251.195077,244.401388,244.424836,238.103443,238.208102
14.6,331.453191,331.434281,308.511877,308.571456,288.269554,288.136881,277.579487,277.601019,264.431793,264.460240,252.429169,252.674358,246.032367,245.984902,239.857119,239.837718
14.7,332.625682,332.615745,309.709165,309.762101,289.176007,289.016729,278.830145,278.836549,265.947751,265.974159,253.775640,253.968887,247.136806,247.173193,241.057344,241.048744
14.8,333.680624,333.671582,310.590094,310.649695,290.278826,290.153947,279.861896,279.862811,267.256672,267.191443,255.126612,255.246678,248.485224,248.472616,241.997209,241.969681
14.9,334.257578,334.255266,311.050355,311.105027,291.126355,290.983469,280.731287,280.728517,268.237761,268.141244,256.013301,256.126615,249.249249,249.149310,242.805712,242.827661
15,334.693841,334.709159,311.339745,311.390293,291.395177,291.285511,281.007589,281.060630,268.862094,268.694073,256.606577,256.650269,249.426252,249.347894,242.925916,243.075891
