r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
11,9.821274,9.856998,8.638256,8.686999,8.801959,8.815957,9.510700,9.504165,9.904848,9.910078,10.630603,10.472584,11.301907,11.535945,10.245354,10.209052
11.1,10.269337,10.316307,9.089293,9.099561,8.982532,8.965910,9.664697,9.580197,9.945659,10.022990,10.381099,10.317574,11.776394,11.975643,10.571801,10.299573
11.2,10.560728,10.609240,9.310483,9.289068,9.429240,9.418291,9.898480,9.784229,9.998741,10.066019,10.438903,10.363210,11.890114,12.005199,10.898412,10.531357
11.3,11.163539,11.209339,9.687917,9.667356,9.625428,9.569745,10.197110,10.097192,10.136884,10.147688,9.990763,10.063706,11.519609,11.398189,11.065123,10.412820
11.4,11.628301,11.657600,9.922725,9.933057,9.677688,9.632711,10.128407,9.945159,10.431668,10.496000,9.955707,9.900808,11.385836,11.064064,10.708199,10.037625
11.5,11.757916,11.762920,10.265085,10.205924,9.718308,9.672670,10.250212,9.893943,10.269595,10.299059,10.052491,10.115452,11.112463,10.723121,11.019767,10.404030
11.6,12.235813,12.239305,10.650360,10.570448,9.658155,9.667313,10.500449,10.244612,10.071421,10.086287,10.017654,10.126338,10.724279,10.309137,11.089731,10.635776
11.7,12.314459,12.292439,10.731135,10.642545,10.242337,10.264061,10.726411,10.550266,10.058828,10.018099,10.043450,10.257167,10.409581,10.001648,10.737524,10.478499
11.8,12.083803,12.047586,11.160788,11.088571,10.237489,10.326792,10.750684,10.613216,9.699874,9.684744,10.203863,10.444411,10.381679,10.063785,10.755457,10.690569
11.9,11.565229,11.513630,11.241021,11.196000,10.244349,10.347806,10.680284,10.622767,9.761543,9.768502,10.075874,10.326628,10.148198,9.916622,10.307553,10.345103
12,10.986706,10.927938,11.278348,11.268192,10.837464,10.899711,10.629466,10.556966,9.614696,9.657612,10.037636,10.217327,9.882005,9.817582,10.319012,10.531274
12.1,10.298233,10.245207,11.066213,11.051572,11.080130,11.130097,10.574825,10.559713,9.709277,9.628473,9.665667,9.866551,9.736998,9.777124,10.662969,11.002466
12.2,9.539062,9.486695,10.884752,10.909417,11.216936,11.256445,10.599335,10.573384,9.703617,9.624131,10.006259,10.203537,9.575662,9.652775,10.566456,11.005217
12.3,9.143391,9.059563,10.770497,10.783937,11.237594,11.272117,10.335633,10.407183,9.535845,9.536615,9.705365,9.895475,9.664906,9.720650,10.613045,11.143120
12.4,8.666198,8.581971,10.696231,10.699175,10.872853,10.906970,9.978877,9.985260,9.167123,9.244730,9.584887,9.696520,10.035754,10.014622,10.434548,10.877665
12.5,8.994240,8.903993,10.482140,10.523909,10.701462,10.676679,9.784022,9.770759,9.104356,9.154772,9.607732,9.658012,9.922165,9.949801,10.526952,10.914368
12.6,9.137408,9.070047,9.749946,9.797315,10.424656,10.383378,9.492100,9.433447,9.215453,9.288804,9.753183,9.709837,9.884978,9.972367,10.521647,10.789965
12.7,8.868376,8.802481,9.407558,9.439032,9.609485,9.572814,9.499936,9.354918,9.094052,9.165788,9.912475,9.839961,9.582540,9.734977,10.404237,10.664532
12.8,8.828002,8.792940,8.902604,8.942648,8.966701,8.858846,9.153308,8.971400,9.387042,9.382630,9.420930,9.414349,9.189676,9.225031,9.940389,10.074495
12.9,8.669353,8.652855,8.069238,8.089519,8.232915,8.108327,9.238396,9.046178,9.109336,9.134273,9.025820,8.981074,8.624094,8.670604,9.595068,9.566126
13,8.559411,8.561183,7.502740,7.542651,7.862373,7.736533,8.786649,8.664518,9.169216,9.187359,8.354749,8.405250,8.101622,8.144298,8.860728,8.792120
13.1,8.190200,8.210514,6.815316,6.818477,7.529144,7.432807,8.438111,8.304388,9.185714,9.155906,8.073500,8.096641,7.933892,8.064691,8.114039,8.033199
13.2,7.446816,7.472954,6.661893,6.693548,6.888040,6.787599,8.144325,7.994305,8.999681,9.056965,7.904653,7.884333,7.795819,7.929735,7.710239,7.539755
13.3,6.855673,6.879103,6.446705,6.478956,6.271084,6.149948,7.517338,7.373801,8.540927,8.657561,7.093524,7.107288,7.363604,7.457652,7.225255,6.978346
13.4,6.444266,6.458438,6.529238,6.588353,6.027863,5.983204,7.368430,7.246338,8.337055,8.448286,6.587847,6.479358,7.134915,7.164559,6.855836,6.621388
13.5,6.306003,6.320474,6.095173,6.160749,5.948694,5.945339,7.129334,6.955665,7.824971,7.834616,6.651212,6.594239,6.943130,6.919521,6.401599,6.034080
13.6,6.195829,6.192127,5.962486,6.045723,6.347116,6.369059,6.629601,6.478773,7.489666,7.533683,6.493558,6.373892,6.917362,6.888246,6.030112,5.569394
13.7,5.902882,5.903369,6.205714,6.293246,6.252245,6.301488,6.841405,6.736644,7.626931,7.600272,6.638491,6.545392,7.105299,7.093423,5.845214,5.375560
13.8,6.390451,6.383445,6.391686,6.452086,6.992515,7.026961,6.632113,6.524716,7.319652,7.313991,6.919123,6.898927,7.384973,7.367946,5.710962,5.323412
13.9,6.673095,6.663572,6.951121,6.998036,7.263680,7.361624,6.918823,6.798937,7.391266,7.329325,7.294046,7.253058,8.295193,8.132973,6.070982,5.837903
14,7.279028,7.260754,7.431672,7.477183,7.695537,7.797883,6.997530,7.036903,7.830776,7.740436,7.914195,7.964601,8.367256,8.255269,6.774349,6.661402
14.1,8.009425,7.996681,8.430084,8.441229,8.254765,8.341890,7.914030,7.981677,8.285220,8.156358,8.832084,8.874337,8.704909,8.662486,7.917331,7.960485
14.2,9.177105,9.152706,9.230462,9.202450,9.168375,9.217327,9.105934,9.178852,8.790111,8.661737,9.961572,9.914548,9.052917,9.040783,9.286363,9.535049
14.3,10.836055,10.814185,10.525379,10.464675,9.563168,9.556692,10.376569,10.438903,9.835344,9.770829,11.007983,11.007524,9.756577,9.801838,10.773995,11.140832
14.4,12.175247,12.144492,11.928411,11.848390,10.382888,10.384915,11.645592,11.731873,10.914225,10.921247,11.914877,11.973198,10.892580,11.058637,12.007489,12.519198
14.5,13.457890,13.427713,13.055450,12.927067,11.914715,11.915440,12.643131,12.692963,12.510499,12.498656,12.908832,13.007970,12.146189,12.228863,13.723569,14.136721
14.6,14.397110,14.343077,14.348414,14.256101,13.385617,13.383617,14.017204,14.004316,13.945299,13.877720,14.081570,14.231594,13.283005,13.446945,15.082831,15.475408
14.7,15.725863,15.668449,15.226139,15.149865,14.653791,14.671706,15.088089,15.050281,14.873259,14.854806,15.400996,15.487059,14.474880,14.588921,16.162058,16.513465
14.8,16.979174,16.945118,16.142428,16.100804,16.002407,16.045957,15.697849,15.634445,15.877840,15.843456,16.300130,16.432329,15.454842,15.581476,16.922963,17.155658
14.9,16.769489,16.739622,16.422196,16.421143,16.988102,17.004479,16.649810,16.510683,16.166239,16.129769,16.847453,16.934475,16.512807,16.482670,17.156820,17.373010
15,17.154243,17.127410,16.649200,16.623055,17.703098,17.724658,16.926328,16.705305,16.228449,16.252137,17.314109,17.436868,16.845168,16.735744,17.245834,17.364539
