r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,0.000000000000,100000,1.0,0,3355,3354,1118
1.900000,0.000000000000,100000,1.0,0,3355,3354,1118
2.000000,0.093860352851,100000,1.0,0,3355,3354,1118
2.100000,2.022262274007,100000,1.0,0,3355,3354,1118
2.200000,12.050838860333,100000,1.0,0,3355,3354,1118
2.300000,34.496682270998,100000,1.0,0,3355,3354,1118
2.400000,65.525636801116,100000,1.0,0,3355,3354,1118
2.500000,98.223118151182,100000,1.0,0,3355,3354,1118
2.600000,128.494421578682,100000,1.0,0,3355,3354,1118
2.700000,155.539185934334,100000,1.0,0,3355,3354,1118
2.800000,180.291410593283,100000,1.0,0,3355,3354,1118
2.900000,204.120225120771,100000,1.0,0,3355,3354,1118
3.000000,226.568311666451,100000,1.0,0,3355,3354,1118
3.100000,236.072305383100,100000,1.0,0,3355,3354,1118
3.200000,220.329340435218,100000,1.0,0,3355,3354,1118
3.300000,185.776848717551,100000,1.0,0,3355,3354,1118
3.400000,148.837668572387,100000,1.0,0,3355,3354,1118
3.500000,118.545377936498,100000,1.0,0,3355,3354,1118
3.600000,96.370060614056,100000,1.0,0,3355,3354,1118
3.700000,80.358848119815,100000,1.0,0,3355,3354,1118
3.800000,69.262390418500,100000,1.0,0,3355,3354,1118
3.900000,60.410255160875,100000,1.0,0,3355,3354,1118
4.000000,53.282709642264,100000,1.0,0,3355,3354,1118
4.100000,47.462973948457,100000,1.0,0,3355,3354,1118
4.200000,44.234400513429,100000,1.0,0,3355,3354,1118
4.300000,42.840441729497,100000,1.0,0,3355,3354,1118
4.400000,43.914571659303,100000,1.0,0,3355,3354,1118
4.500000,47.213223036736,100000,1.0,0,3355,3354,1118
4.600000,52.368335495970,100000,1.0,0,3355,3354,1118
4.700000,58.804950646848,100000,1.0,0,3355,3354,1118
4.800000,67.187128460955,100000,1.0,0,3355,3354,1118
4.900000,76.390259784659,100000,1.0,0,3355,3354,1118
5.000000,86.271938745998,100000,1.0,0,3355,3354,1118
5.100000,95.535463486600,100000,1.0,0,3355,3354,1118
5.200000,104.052757582433,100000,1.0,0,3355,3354,1118
5.300000,111.042466493975,100000,1.0,0,3355,3354,1118
5.400000,116.541002494507,100000,1.0,0,3355,3354,1118
5.500000,120.245006532653,100000,1.0,0,3355,3354,1118
5.600000,121.805002710433,100000,1.0,0,3355,3354,1118
5.700000,121.487549512609,100000,1.0,0,3355,3354,1118
5.800000,119.554569613783,100000,1.0,0,3355,3354,1118
5.900000,115.881609413577,100000,1.0,0,3355,3354,1118
6.000000,111.404975805476,100000,1.0,0,3355,3354,1118
6.100000,106.841653361261,100000,1.0,0,3355,3354,1118
6.200000,101.985348126762,100000,1.0,0,3355,3354,1118
6.300000,98.119753617716,100000,1.0,0,3355,3354,1118
6.400000,94.423191252457,100000,1.0,0,3355,3354,1118
6.500000,91.837438669409,100000,1.0,0,3355,3354,1118
6.600000,89.351588870327,100000,1.0,0,3355,3354,1118
6.700000,87.187648354709,100000,1.0,0,3355,3354,1118
6.800000,85.696966716705,100000,1.0,0,3355,3354,1118
6.900000,84.933859488531,100000,1.0,0,3355,3354,1118
7.000000,84.628799581640,100000,1.0,0,3355,3354,1118
7.100000,84.581742728940,100000,1.0,0,3355,3354,1118
7.200000,85.342223789895,100000,1.0,0,3355,3354,1118
7.300000,86.101370693006,100000,1.0,0,3355,3354,1118
7.400000,87.164229037071,100000,1.0,0,3355,3354,1118
7.500000,88.325448830554,100000,1.0,0,3355,3354,1118
7.600000,89.617704364769,100000,1.0,0,3355,3354,1118
7.700000,91.116043695273,100000,1.0,0,3355,3354,1118
7.800000,92.156410293433,100000,1.0,0,3355,3354,1118
7.900000,93.562051418115,100000,1.0,0,3355,3354,1118
8.000000,94.198195459416,100000,1.0,0,3355,3354,1118
8.100000,94.827155947845,100000,1.0,0,3355,3354,1118
8.200000,96.066962968377,100000,1.0,0,3355,3354,1118
8.300000,96.408204378591,100000,1.0,0,3355,3354,1118
8.400000,96.584074505681,100000,1.0,0,3355,3354,1118
8.500000,97.166366594109,100000,1.0,0,3355,3354,1118
8.600000,97.579648955697,100000,1.0,0,3355,3354,1118
8.700000,97.762306075038,100000,1.0,0,3355,3354,1118
8.800000,97.363102736994,100000,1.0,0,3355,3354,1118
8.900000,97.146080835986,100000,1.0,0,3355,3354,1118
9.000000,96.792639706577,100000,1.0,0,3355,3354,1118
9.100000,96.241778123359,100000,1.0,0,3355,3354,1118
9.200000,95.963810734295,100000,1.0,0,3355,3354,1118
9.300000,95.574931685508,100000,1.0,0,3355,3354,1118
9.400000,94.963126254134,100000,1.0,0,3355,3354,1118
9.500000,94.512096862217,100000,1.0,0,3355,3354,1118
9.600000,93.673680820302,100000,1.0,0,3355,3354,1118
9.700000,93.142175874501,100000,1.0,0,3355,3354,1118
9.800000,92.773839776416,100000,1.0,0,3355,3354,1118
9.900000,92.569623575424,100000,1.0,0,3355,3354,1118
10.000000,91.990727307410,100000,1.0,0,3355,3354,1118
10.100000,91.814613527655,100000,1.0,0,3355,3354,1118
10.200000,91.916932221813,100000,1.0,0,3355,3354,1118
10.300000,92.429297717312,100000,1.0,0,3355,3354,1118
10.400000,92.356693830772,100000,1.0,0,3355,3354,1118
10.500000,92.626914904844,100000,1.0,0,3355,3354,1118
10.600000,92.896778363492,100000,1.0,0,3355,3354,1118
10.700000,93.137558733532,100000,1.0,0,3355,3354,1118
10.800000,93.247003664109,100000,1.0,0,3355,3354,1118
