system,ion,q_label,charge_e,r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens,max_o_distance_raw
2_Cl,Cl,qm1.0,-1.0000000000,5.200000,203.328782239107,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,5.300000,199.847909147963,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,5.400000,196.501191755046,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,5.500000,192.913900734983,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,5.600000,189.940536883723,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,5.700000,187.167719411484,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,5.800000,185.481386139206,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,5.900000,185.432409835373,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.000000,187.310313989539,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.100000,190.463273976811,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.200000,194.284673755572,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.300000,197.396796583567,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.400000,199.947733000800,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.500000,200.876779743065,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.600000,201.463840045620,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.700000,200.768432391216,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.800000,199.622085791241,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,6.900000,197.745226740583,100000,1.0,0,3355,3354,1118,20.256595
2_Cl,Cl,qm1.0,-1.0000000000,7.000000,195.512788028332,100000,1.0,0,3355,3354,1118,20.256595
