Dis,K1(KK),CL1(CLCL),K1(KCL),CL2(KCL)
1,-310.9,318.5,-10.0,17.0
2,-292.4,295.2,-36.9,46.3
3,-274.6,275.4,-64.1,75.6
4,-255.4,264.3,-88.8,102.7
5,-239.6,251.2,-108.5,119.4
6,-229.0,239.1,-119.1,129.4
7,-221.5,232.1,-127.1,138.1
8,-214.6,226.2,-132.6,144.1
