K,Div,0.2,0.4,0.6,0.8,1,,CL,Div,-0.2,-0.4,-0.6,-0.8,-1,,Mg,Div,0.4,0.8,1.2,1.6,2
,3.3,-61.21,-144.89,-233.65,-311.04,-368.15,,,3.3,52.98,84.70,67.44,16.51,-40.25,,,3.3,-16.48,-44.72,-115.81,-165.87,-183.29
,3.4,-53.60,-124.10,-191.05,-240.06,-270.32,,,3.4,45.34,54.83,18.52,-32.49,-73.89,,,3.4,-9.92,-39.26,-106.60,-165.33,-184.81
,3.5,-45.55,-101.39,-147.11,-171.72,-181.47,,,3.5,37.16,35.17,1.24,-33.05,-49.00,,,3.5,-10.35,-39.95,-100.33,-165.95,-188.35
,3.6,-37.46,-78.90,-105.83,-112.28,-111.25,,,3.6,31.70,27.68,8.76,-1.80,4.03,,,3.6,-15.30,-46.23,-97.66,-167.79,-195.49
,3.7,-30.37,-58.36,-70.31,-66.64,-61.82,,,3.7,26.41,28.16,28.40,40.16,61.61,,,3.7,-23.97,-58.37,-100.25,-172.36,-209.68
,3.8,-24.57,-42.11,-44.63,-36.31,-31.81,,,3.8,23.68,34.21,53.10,82.59,113.81,,,3.8,-34.86,-76.53,-110.86,-183.57,-237.01
,3.9,-20.26,-30.74,-28.34,-18.95,-16.52,,,3.9,22.22,41.91,76.02,118.48,157.76,,,3.9,-47.43,-98.93,-131.44,-204.75,-280.14
,4,-17.26,-23.88,-20.08,-13.07,-11.91,,,4,21.98,50.09,95.50,148.01,193.34,,,4,-61.35,-125.50,-163.72,-239.37,-339.57
,4.1,-15.65,-21.08,-17.98,-14.32,-16.24,,,4.1,21.69,56.72,109.77,169.20,220.50,,,4.1,-75.74,-154.43,-205.14,-286.80,-408.69
,4.2,-15.53,-21.32,-21.25,-22.69,-27.28,,,4.2,22.60,62.40,120.04,183.84,240.25,,,4.2,-90.25,-185.23,-252.37,-342.39,-479.06
,4.3,-16.44,-23.92,-28.28,-34.97,-44.29,,,4.3,22.96,65.70,125.74,191.78,252.12,,,4.3,-103.32,-215.07,-300.47,-400.42,-541.06
,4.4,-18.39,-28.03,-37.84,-50.57,-65.84,,,4.4,23.73,67.56,128.34,194.92,257.58,,,4.4,-115.34,-243.17,-346.90,-453.92,-587.71
,4.5,-20.44,-33.51,-48.98,-68.67,-90.94,,,4.5,24.48,68.94,129.56,194.72,258.41,,,4.5,-125.02,-266.72,-385.49,-496.58,-612.46
,4.6,-23.35,-40.55,-62.10,-88.95,-118.68,,,4.6,24.94,69.75,129.28,192.61,255.31,,,4.6,-133.32,-285.85,-414.84,-523.24,-614.33
,4.7,-26.60,-48.31,-75.89,-110.19,-148.08,,,4.7,26.41,71.71,129.74,190.18,250.27,,,4.7,-137.80,-296.54,-430.85,-529.72,-595.01
,4.8,-30.28,-56.26,-89.77,-131.15,-176.73,,,4.8,28.03,73.54,129.77,187.01,243.73,,,4.8,-139.80,-298.85,-433.21,-517.73,-560.33
,4.9,-32.75,-63.76,-102.70,-151.02,-202.71,,,4.9,29.94,75.49,130.05,183.23,235.53,,,4.9,-139.03,-292.38,-421.09,-491.61,-516.94
,5,-35.80,-70.96,-115.29,-168.90,-226.11,,,5,32.21,78.03,129.71,178.53,226.06,,,5,-134.94,-277.56,-398.81,-456.04,-471.41
,5.1,-37.86,-77.16,-125.32,-183.58,-245.08,,,5.1,34.30,79.33,127.87,172.36,214.18,,,5.1,-128.29,-257.35,-369.83,-417.76,-429.00
,5.2,-39.55,-81.89,-133.39,-194.49,-258.50,,,5.2,36.12,80.49,124.64,164.93,201.26,,,5.2,-118.53,-234.20,-337.57,-380.83,-393.16
,5.3,-40.84,-85.13,-138.80,-201.90,-266.02,,,5.3,37.21,79.95,119.69,155.68,187.89,,,5.3,-108.29,-211.59,-307.01,-349.34,-366.08
,5.4,-41.22,-87.35,-141.97,-204.42,-266.96,,,5.4,38.22,78.73,113.94,145.39,175.39,,,5.4,-98.60,-191.44,-280.78,-325.34,-347.87
,5.5,-40.45,-87.22,-141.63,-201.30,-260.58,,,5.5,38.11,75.18,106.36,134.95,162.71,,,5.5,-89.76,-175.24,-259.55,-308.79,-337.10
,5.6,-39.96,-85.88,-138.44,-194.07,-247.95,,,5.6,37.02,70.35,97.83,124.62,151.66,,,5.6,-82.97,-163.06,-244.44,-298.82,-333.42
,5.7,-38.41,-82.57,-131.81,-182.18,-229.79,,,5.7,35.15,64.93,90.21,115.91,142.76,,,5.7,-77.99,-155.16,-235.19,-294.45,-334.37
,5.8,-36.52,-78.03,-123.58,-167.44,-209.45,,,5.8,32.83,59.85,83.49,108.97,137.09,,,5.8,-75.10,-150.78,-230.23,-293.71,-339.24
,5.9,-34.60,-72.78,-113.75,-152.32,-188.97,,,5.9,30.30,54.94,78.01,105.23,135.52,,,5.9,-74.83,-151.10,-230.52,-297.34,-348.48
,6,-33.38,-68.06,-104.91,-137.86,-170.37,,,6,27.63,51.66,75.89,105.88,139.19,,,6,-75.15,-152.04,-232.80,-302.22,-358.91
,6.1,-31.91,-63.59,-96.49,-125.80,-155.00,,,6.1,25.61,49.66,76.94,110.67,146.89,,,6.1,-77.59,-156.04,-237.90,-309.69,-371.69
,6.2,-30.41,-59.80,-89.29,-116.35,-143.02,,,6.2,24.70,49.76,81.13,118.69,157.68,,,6.2,-80.54,-161.90,-245.00,-318.67,-386.06
,6.3,-28.97,-56.59,-84.16,-110.14,-135.73,,,6.3,23.96,51.47,87.19,128.12,169.11,,,6.3,-83.96,-168.45,-252.68,-328.42,-399.88
,6.4,-27.97,-54.59,-81.02,-106.53,-131.92,,,6.4,24.04,54.94,94.05,137.52,180.32,,,6.4,-87.61,-175.67,-261.03,-338.29,-413.18
,6.5,-27.75,-54.26,-80.08,-106.06,-132.26,,,6.5,24.73,58.30,100.17,145.54,188.96,,,6.5,-91.02,-182.77,-269.83,-347.79,-425.21
,6.6,-27.91,-54.65,-80.35,-108.25,-135.52,,,6.6,25.78,62.19,105.90,152.49,196.47,,,6.6,-93.62,-188.87,-278.05,-356.75,-434.91
,6.7,-28.45,-56.09,-82.36,-111.66,-140.53,,,6.7,26.85,65.58,109.64,157.06,200.89,,,6.7,-96.76,-196.02,-286.74,-365.42,-442.94
,6.8,-28.99,-57.52,-85.02,-116.48,-147.05,,,6.8,27.65,67.81,112.46,159.47,203.25,,,6.8,-98.87,-201.09,-293.75,-372.07,-447.39
,6.9,-29.60,-59.39,-88.10,-121.14,-154.30,,,6.9,28.43,69.43,114.32,160.37,203.58,,,6.9,-100.49,-205.34,-299.42,-377.09,-448.51
,7,-30.68,-60.61,-91.76,-126.03,-161.12,,,7,29.57,70.16,115.11,160.37,202.57,,,7,-101.64,-208.35,-302.96,-378.79,-446.11
,7.1,-31.14,-61.98,-95.18,-130.82,-167.61,,,7.1,30.12,70.33,114.56,159.32,200.10,,,7.1,-102.19,-209.91,-305.06,-378.60,-441.19
,7.2,-31.63,-63.28,-97.72,-134.93,-173.45,,,7.2,30.86,69.75,113.46,157.48,197.43,,,7.2,-102.54,-210.13,-305.48,-376.71,-434.19
,7.3,-32.11,-64.87,-100.28,-138.83,-178.34,,,7.3,31.22,69.47,112.62,154.59,194.27,,,7.3,-101.72,-208.72,-303.90,-372.42,-425.29
,7.4,-32.85,-65.84,-102.46,-141.77,-182.28,,,7.4,32.17,69.58,112.43,152.89,191.98,,,7.4,-99.99,-205.94,-300.70,-366.49,-415.98
,7.5,-33.76,-67.34,-104.53,-144.19,-185.18,,,7.5,32.66,69.18,110.89,150.42,189.10,,,7.5,-98.93,-203.30,-297.05,-361.06,-408.56
,7.6,-34.56,-68.39,-105.50,-145.39,-186.76,,,7.6,33.12,68.80,109.93,149.07,187.06,,,7.6,-97.44,-200.08,-292.60,-355.35,-402.27
,7.7,-34.87,-68.86,-105.89,-146.35,-187.24,,,7.7,32.91,68.22,108.73,147.42,185.18,,,7.7,-96.16,-197.13,-288.08,-350.88,-397.50
,7.8,-34.96,-69.13,-106.01,-145.81,-186.48,,,7.8,32.13,66.94,107.02,145.37,183.43,,,7.8,-95.55,-194.98,-284.69,-348.24,-395.72
,7.9,-34.25,-68.14,-104.78,-144.13,-184.57,,,7.9,32.27,66.71,105.90,144.14,182.95,,,7.9,-95.07,-193.05,-281.73,-346.46,-395.05
,8,-33.39,-67.46,-103.49,-142.65,-182.51,,,8,31.39,66.20,104.59,143.28,181.94,,,8,-94.85,-191.48,-280.02,-345.70,-396.10
,8.1,-32.68,-66.47,-102.39,-140.78,-180.35,,,8.1,30.75,65.28,103.23,142.58,181.65,,,8.1,-94.43,-190.81,-279.10,-346.21,-397.75
,8.2,-32.47,-65.52,-101.00,-138.76,-177.71,,,8.2,29.72,64.48,102.15,142.05,181.33,,,8.2,-93.98,-190.11,-279.16,-347.50,-400.56
,8.3,-32.55,-65.29,-100.18,-137.37,-176.29,,,8.3,29.52,64.18,101.50,142.09,182.01,,,8.3,-93.95,-190.38,-280.09,-349.24,-403.79
,8.4,-32.15,-64.33,-99.26,-136.12,-174.25,,,8.4,29.31,63.73,100.75,141.64,182.44,,,8.4,-93.86,-190.90,-280.66,-351.49,-406.72
,8.5,-32.39,-64.34,-98.68,-135.54,-173.39,,,8.5,28.50,63.53,100.59,141.99,182.86,,,8.5,-93.99,-191.63,-282.14,-353.70,-410.16
,8.6,-31.65,-63.06,-97.58,-133.94,-171.54,,,8.6,28.62,63.53,100.58,142.27,183.31,,,8.6,-94.15,-192.14,-283.31,-355.48,-413.17
