r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.005571251818,100000,1.0,0,3355,3354,1118
1.600000,0.060426175920,100000,1.0,0,3355,3354,1118
1.700000,0.307162790921,100000,1.0,0,3355,3354,1118
1.800000,1.233652753226,100000,1.0,0,3355,3354,1118
1.900000,4.058063318175,100000,1.0,0,3355,3354,1118
2.000000,10.052430556058,100000,1.0,0,3355,3354,1118
2.100000,17.661293305435,100000,1.0,0,3355,3354,1118
2.200000,15.999424531033,100000,1.0,0,3355,3354,1118
2.300000,-0.970963730425,100000,1.0,0,3355,3354,1118
2.400000,-24.193634687687,100000,1.0,0,3355,3354,1118
2.500000,-46.322870183773,100000,1.0,0,3355,3354,1118
2.600000,-62.204835998909,100000,1.0,0,3355,3354,1118
2.700000,-71.786797156493,100000,1.0,0,3355,3354,1118
2.800000,-75.347001487998,100000,1.0,0,3355,3354,1118
2.900000,-74.324425369609,100000,1.0,0,3355,3354,1118
3.000000,-70.517635474065,100000,1.0,0,3355,3354,1118
3.100000,-64.432806391630,100000,1.0,0,3355,3354,1118
3.200000,-56.767866497004,100000,1.0,0,3355,3354,1118
3.300000,-49.731958332229,100000,1.0,0,3355,3354,1118
3.400000,-43.582857714509,100000,1.0,0,3355,3354,1118
3.500000,-39.095012266678,100000,1.0,0,3355,3354,1118
3.600000,-35.832578372494,100000,1.0,0,3355,3354,1118
3.700000,-33.805947013114,100000,1.0,0,3355,3354,1118
3.800000,-32.466605838829,100000,1.0,0,3355,3354,1118
3.900000,-31.779665842935,100000,1.0,0,3355,3354,1118
4.000000,-31.402626427404,100000,1.0,0,3355,3354,1118
4.100000,-31.079365546632,100000,1.0,0,3355,3354,1118
4.200000,-30.801869745659,100000,1.0,0,3355,3354,1118
4.300000,-30.432864754376,100000,1.0,0,3355,3354,1118
4.400000,-30.006205367024,100000,1.0,0,3355,3354,1118
4.500000,-29.120124938282,100000,1.0,0,3355,3354,1118
4.600000,-28.150983752168,100000,1.0,0,3355,3354,1118
4.700000,-27.476639543979,100000,1.0,0,3355,3354,1118
4.800000,-26.946889241882,100000,1.0,0,3355,3354,1118
4.900000,-27.109663330334,100000,1.0,0,3355,3354,1118
5.000000,-28.020021950142,100000,1.0,0,3355,3354,1118
5.100000,-28.976335873751,100000,1.0,0,3355,3354,1118
5.200000,-30.771380330864,100000,1.0,0,3355,3354,1118
5.300000,-32.144611521362,100000,1.0,0,3355,3354,1118
5.400000,-33.420126107774,100000,1.0,0,3355,3354,1118
5.500000,-34.713324887577,100000,1.0,0,3355,3354,1118
5.600000,-35.320893147285,100000,1.0,0,3355,3354,1118
5.700000,-35.569883953116,100000,1.0,0,3355,3354,1118
5.800000,-35.586660344139,100000,1.0,0,3355,3354,1118
5.900000,-35.423068677571,100000,1.0,0,3355,3354,1118
6.000000,-35.905865049893,100000,1.0,0,3355,3354,1118
6.100000,-36.166185474544,100000,1.0,0,3355,3354,1118
6.200000,-36.905502113718,100000,1.0,0,3355,3354,1118
6.300000,-37.512016455077,100000,1.0,0,3355,3354,1118
6.400000,-37.904936588974,100000,1.0,0,3355,3354,1118
6.500000,-38.332474023969,100000,1.0,0,3355,3354,1118
6.600000,-38.647348773326,100000,1.0,0,3355,3354,1118
6.700000,-38.732900728917,100000,1.0,0,3355,3354,1118
6.800000,-38.371361733129,100000,1.0,0,3355,3354,1118
6.900000,-37.751851910136,100000,1.0,0,3355,3354,1118
7.000000,-37.772004795877,100000,1.0,0,3355,3354,1118
7.100000,-36.955691267780,100000,1.0,0,3355,3354,1118
7.200000,-36.207381161204,100000,1.0,0,3355,3354,1118
7.300000,-35.484276543729,100000,1.0,0,3355,3354,1118
7.400000,-34.574881962872,100000,1.0,0,3355,3354,1118
7.500000,-33.540455056632,100000,1.0,0,3355,3354,1118
7.600000,-32.963076381169,100000,1.0,0,3355,3354,1118
7.700000,-32.268826191138,100000,1.0,0,3355,3354,1118
7.800000,-31.931105331432,100000,1.0,0,3355,3354,1118
7.900000,-31.463826982421,100000,1.0,0,3355,3354,1118
8.000000,-31.758208490028,100000,1.0,0,3355,3354,1118
8.100000,-31.928980187392,100000,1.0,0,3355,3354,1118
8.200000,-32.310617133133,100000,1.0,0,3355,3354,1118
8.300000,-32.462403989522,100000,1.0,0,3355,3354,1118
8.400000,-32.970452369003,100000,1.0,0,3355,3354,1118
8.500000,-33.107737725954,100000,1.0,0,3355,3354,1118
8.600000,-33.572476739506,100000,1.0,0,3355,3354,1118
8.700000,-33.950024974924,100000,1.0,0,3355,3354,1118
8.800000,-34.048666287866,100000,1.0,0,3355,3354,1118
8.900000,-34.267461907342,100000,1.0,0,3355,3354,1118
9.000000,-34.728715365190,100000,1.0,0,3355,3354,1118
9.100000,-35.460312188171,100000,1.0,0,3355,3354,1118
9.200000,-35.731214632406,100000,1.0,0,3355,3354,1118
9.300000,-36.110514136656,100000,1.0,0,3355,3354,1118
9.400000,-36.073836525122,100000,1.0,0,3355,3354,1118
9.500000,-36.133071404137,100000,1.0,0,3355,3354,1118
9.600000,-36.574123661551,100000,1.0,0,3355,3354,1118
9.700000,-36.973395098876,100000,1.0,0,3355,3354,1118
9.800000,-37.201135068802,100000,1.0,0,3355,3354,1118
9.900000,-37.111813591690,100000,1.0,0,3355,3354,1118
10.000000,-36.648478394550,100000,1.0,0,3355,3354,1118
10.100000,-36.365650380829,100000,1.0,0,3355,3354,1118
10.200000,-36.049350345809,100000,1.0,0,3355,3354,1118
10.300000,-35.383362946705,100000,1.0,0,3355,3354,1118
10.400000,-34.924555724759,100000,1.0,0,3355,3354,1118
10.500000,-34.633836243511,100000,1.0,0,3355,3354,1118
