r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens
0.000000,0.000000000000,100000,1.0,0,3355,3354,1118
0.100000,0.000000000000,100000,1.0,0,3355,3354,1118
0.200000,0.000000000000,100000,1.0,0,3355,3354,1118
0.300000,0.000000000000,100000,1.0,0,3355,3354,1118
0.400000,0.000000000000,100000,1.0,0,3355,3354,1118
0.500000,0.000000000000,100000,1.0,0,3355,3354,1118
0.600000,0.000000000000,100000,1.0,0,3355,3354,1118
0.700000,0.000000000000,100000,1.0,0,3355,3354,1118
0.800000,0.000000000000,100000,1.0,0,3355,3354,1118
0.900000,0.000000000000,100000,1.0,0,3355,3354,1118
1.000000,0.000000000000,100000,1.0,0,3355,3354,1118
1.100000,0.000000000000,100000,1.0,0,3355,3354,1118
1.200000,0.000000000000,100000,1.0,0,3355,3354,1118
1.300000,0.000000000000,100000,1.0,0,3355,3354,1118
1.400000,0.000000000000,100000,1.0,0,3355,3354,1118
1.500000,0.000000000000,100000,1.0,0,3355,3354,1118
1.600000,0.000000000000,100000,1.0,0,3355,3354,1118
1.700000,0.000000000000,100000,1.0,0,3355,3354,1118
1.800000,0.001561551021,100000,1.0,0,3355,3354,1118
1.900000,-0.888699889207,100000,1.0,0,3355,3354,1118
2.000000,-52.140132999925,100000,1.0,0,3355,3354,1118
2.100000,-241.736724326386,100000,1.0,0,3355,3354,1118
2.200000,-410.398226310326,100000,1.0,0,3355,3354,1118
2.300000,-488.134677194477,100000,1.0,0,3355,3354,1118
2.400000,-507.983162109834,100000,1.0,0,3355,3354,1118
2.500000,-489.873429489799,100000,1.0,0,3355,3354,1118
2.600000,-439.414524199248,100000,1.0,0,3355,3354,1118
2.700000,-362.511331516501,100000,1.0,0,3355,3354,1118
2.800000,-273.817556873334,100000,1.0,0,3355,3354,1118
2.900000,-194.614714710169,100000,1.0,0,3355,3354,1118
3.000000,-139.081663683840,100000,1.0,0,3355,3354,1118
3.100000,-106.445690230323,100000,1.0,0,3355,3354,1118
3.200000,-86.982134709543,100000,1.0,0,3355,3354,1118
3.300000,-74.698815032316,100000,1.0,0,3355,3354,1118
3.400000,-67.561380228512,100000,1.0,0,3355,3354,1118
3.500000,-65.098994386718,100000,1.0,0,3355,3354,1118
3.600000,-67.175773266332,100000,1.0,0,3355,3354,1118
3.700000,-74.532992974552,100000,1.0,0,3355,3354,1118
3.800000,-87.295211862120,100000,1.0,0,3355,3354,1118
3.900000,-104.573455232192,100000,1.0,0,3355,3354,1118
4.000000,-125.364833451680,100000,1.0,0,3355,3354,1118
4.100000,-148.367873489503,100000,1.0,0,3355,3354,1118
4.200000,-173.083972988165,100000,1.0,0,3355,3354,1118
4.300000,-197.224260100517,100000,1.0,0,3355,3354,1118
4.400000,-219.820076080362,100000,1.0,0,3355,3354,1118
4.500000,-239.006248954587,100000,1.0,0,3355,3354,1118
4.600000,-254.002386246040,100000,1.0,0,3355,3354,1118
4.700000,-262.578616482062,100000,1.0,0,3355,3354,1118
4.800000,-264.141917525455,100000,1.0,0,3355,3354,1118
4.900000,-258.480972789960,100000,1.0,0,3355,3354,1118
5.000000,-246.338200334206,100000,1.0,0,3355,3354,1118
5.100000,-229.959138228113,100000,1.0,0,3355,3354,1118
5.200000,-212.166548433463,100000,1.0,0,3355,3354,1118
5.300000,-194.781374591525,100000,1.0,0,3355,3354,1118
5.400000,-179.210861721426,100000,1.0,0,3355,3354,1118
5.500000,-167.034436065266,100000,1.0,0,3355,3354,1118
5.600000,-157.905279992059,100000,1.0,0,3355,3354,1118
5.700000,-151.964861029611,100000,1.0,0,3355,3354,1118
5.800000,-148.976222659987,100000,1.0,0,3355,3354,1118
5.900000,-149.115335923300,100000,1.0,0,3355,3354,1118
6.000000,-150.398479716268,100000,1.0,0,3355,3354,1118
6.100000,-153.755076077903,100000,1.0,0,3355,3354,1118
6.200000,-158.359991725583,100000,1.0,0,3355,3354,1118
6.300000,-163.956939351105,100000,1.0,0,3355,3354,1118
6.400000,-170.190604474930,100000,1.0,0,3355,3354,1118
6.500000,-176.311957493842,100000,1.0,0,3355,3354,1118
6.600000,-181.687094758631,100000,1.0,0,3355,3354,1118
6.700000,-187.305581222764,100000,1.0,0,3355,3354,1118
6.800000,-191.422159856431,100000,1.0,0,3355,3354,1118
6.900000,-194.629963757279,100000,1.0,0,3355,3354,1118
7.000000,-197.042940605968,100000,1.0,0,3355,3354,1118
7.100000,-197.926832763165,100000,1.0,0,3355,3354,1118
7.200000,-197.328196365633,100000,1.0,0,3355,3354,1118
7.300000,-195.816419764646,100000,1.0,0,3355,3354,1118
7.400000,-193.415641770952,100000,1.0,0,3355,3354,1118
7.500000,-190.523765648531,100000,1.0,0,3355,3354,1118
7.600000,-187.447443320773,100000,1.0,0,3355,3354,1118
7.700000,-184.687503188730,100000,1.0,0,3355,3354,1118
7.800000,-182.192975556792,100000,1.0,0,3355,3354,1118
7.900000,-180.354171518598,100000,1.0,0,3355,3354,1118
8.000000,-178.619907634016,100000,1.0,0,3355,3354,1118
8.100000,-178.001164230633,100000,1.0,0,3355,3354,1118
8.200000,-177.564091668639,100000,1.0,0,3355,3354,1118
8.300000,-177.889900767250,100000,1.0,0,3355,3354,1118
8.400000,-178.759646912212,100000,1.0,0,3355,3354,1118
8.500000,-179.686170088112,100000,1.0,0,3355,3354,1118
8.600000,-180.838852731710,100000,1.0,0,3355,3354,1118
8.700000,-182.379547790083,100000,1.0,0,3355,3354,1118
8.800000,-183.510659012318,100000,1.0,0,3355,3354,1118
8.900000,-184.262088649830,100000,1.0,0,3355,3354,1118
9.000000,-185.028299839890,100000,1.0,0,3355,3354,1118
9.100000,-185.268115875593,100000,1.0,0,3355,3354,1118
9.200000,-185.462820790600,100000,1.0,0,3355,3354,1118
9.300000,-185.559160386715,100000,1.0,0,3355,3354,1118
9.400000,-185.226582480885,100000,1.0,0,3355,3354,1118
9.500000,-184.949666328533,100000,1.0,0,3355,3354,1118
9.600000,-184.496207249125,100000,1.0,0,3355,3354,1118
9.700000,-183.945742511646,100000,1.0,0,3355,3354,1118
9.800000,-183.312328810474,100000,1.0,0,3355,3354,1118
9.900000,-183.159053467532,100000,1.0,0,3355,3354,1118
10.000000,-182.736684032708,100000,1.0,0,3355,3354,1118
10.100000,-182.043852689011,100000,1.0,0,3355,3354,1118
10.200000,-181.621994722656,100000,1.0,0,3355,3354,1118
10.300000,-181.922552839625,100000,1.0,0,3355,3354,1118
10.400000,-181.913189003458,100000,1.0,0,3355,3354,1118
10.500000,-182.166835064471,100000,1.0,0,3355,3354,1118
