system,ion,q_label,charge_e,r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens,max_o_distance_raw
3_Mg,Mg,q0.0,0.0000000000,4.700000,33.962727416830,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.800000,34.704353468908,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,4.900000,33.898959439926,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.000000,31.225278366382,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.100000,27.392991577988,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.200000,22.035137286899,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.300000,16.811441375842,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.400000,12.229210645616,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.500000,8.204854808397,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.600000,5.155185924048,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.700000,3.193634894238,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.800000,1.807976212125,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,5.900000,1.989180085647,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.000000,1.642897011791,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.100000,2.284125634708,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.200000,3.536127814299,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.300000,4.494658467692,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.400000,5.480546096998,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.500000,6.460354851042,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.600000,7.180305999539,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.700000,8.716200148644,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.800000,9.671177486167,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,6.900000,10.705634953597,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.000000,11.308513518104,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.100000,11.981038220392,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.200000,12.802533137584,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.300000,12.901929959445,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.400000,12.520707664243,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.500000,12.779499912481,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.600000,12.629527296837,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.700000,12.440161123782,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.800000,12.786842794491,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,7.900000,12.692597209767,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.000000,12.855281353428,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.100000,12.812924846231,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.200000,12.546604448526,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.300000,12.485628542655,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.400000,12.135909674648,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.500000,11.942614336086,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.600000,11.301519223828,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.700000,11.140896717110,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.800000,11.215339468953,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,8.900000,11.036572906383,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.000000,10.214469811130,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.100000,9.886593467929,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.200000,10.006808423660,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.300000,9.523926023948,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.400000,9.404670788043,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.500000,9.171005769072,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.600000,9.570243091628,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.700000,9.280271588091,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.800000,9.756059417364,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,9.900000,9.687909100760,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.000000,10.207510820192,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.100000,10.181126781623,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.200000,10.415548342108,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.300000,10.788068822936,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.400000,11.015693754062,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.500000,11.128414922379,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.600000,10.761329105581,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.700000,11.201759247313,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.800000,10.762671799998,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,10.900000,10.567173591574,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.000000,11.185051713693,100000,1.0,0,3355,3354,1118,20.405614
3_Mg,Mg,q0.0,0.0000000000,11.100000,10.884358577051,100000,1.0,0,3355,3354,1118,20.405614
