,K,0.5,1,CL,-0.5,-1,MG,1,2,
9.6,,0.17,0.012,,-0.183,-0.13,,0.221,0.461,9.6
9.7,,-0.086,-0.102,,0.079,0.18,,0.201,0.47,9.7
9.8,,-0.189,0.096,,-0.027,-0.012,,0.152,0.461,9.8
9.9,,0.036,0.065,,-0.054,0.017,,0.211,0.17,9.9
10,,-0.075,0.05,,-0.114,-0.016,,0.158,0.107,10
10.1,,0.115,0.242,,-0.065,0.042,,0.039,-0.003,10.1
10.2,,-0.039,0.136,,0.189,0.327,,-0.13,-0.011,10.2
10.3,,-0.097,0.061,,-0.035,0.224,,-0.035,-0.24,10.3
10.4,,0.115,0.209,,0.147,0.255,,-0.158,-0.35,10.4
10.5,,0.061,0.131,,0.09,-0.032,,-0.216,-0.16,10.5
10.6,,0.024,0.035,,-0.016,0.01,,-0.423,-0.312,10.6
10.7,,-0.016,0.004,,-0.048,0.018,,-0.246,-0.318,10.7
10.8,,0.003,-0.19,,-0.042,0.033,,-0.124,-0.189,10.8
10.9,,0.11,-0.011,,0.037,0.093,,-0.283,-0.376,10.9
11,,-0.026,-0.065,,-0.075,-0.036,,-0.001,-0.1,11
11.1,,-0.129,-0.186,,-0.017,-0.063,,-0.031,-0.41,11.1
11.2,,0.152,-0.064,,-0.155,-0.21,,-0.115,-0.158,11.2
11.3,,0.112,-0.027,,0.085,-0.079,,-0.08,-0.039,11.3
11.4,,0.038,-0.184,,0.016,-0.075,,-0.189,-0.199,11.4
11.5,,-0.128,-0.32,,-0.194,-0.237,,0.08,0.213,11.5
11.6,,0.027,0.004,,-0.189,-0.102,,0.022,0.164,11.6
11.7,,-0.064,-0.255,,-0.062,-0.33,,0.044,0.135,11.7
11.8,,-0.316,-0.267,,0.052,-0.158,,0.287,0.436,11.8
11.9,,-0.072,0.13,,0.192,0.046,,0.177,0.277,11.9
12,,-0.045,-0.002,,0.028,-0.221,,0.361,0.22,12
12.1,,0.116,0.312,,-0.001,0.049,,0.381,0.303,12.1
12.2,,-0.046,-0.187,,0,-0.031,,0.536,0.324,12.2
12.3,,-0.031,0.313,,0.097,0.063,,0.199,0.139,12.3
12.4,,-0.167,0.151,,0.133,0.096,,-0.064,0.049,12.4
12.5,,0.253,0.314,,0.06,0.142,,-0.007,-0.07,12.5
12.6,,-0.11,0.176,,0.088,0.276,,-0.124,0.014,12.6
12.7,,-0.159,-0.011,,0.022,0.203,,-0.195,-0.207,12.7
12.8,,0.181,0.028,,-0.049,0.13,,-0.328,-0.305,12.8
12.9,,0.126,-0.056,,-0.033,0.358,,-0.214,-0.215,12.9
13,,-0.003,0.168,,0.012,0.149,,-0.139,-0.003,13
13.1,,0.062,-0.146,,-0.188,-0.052,,-0.105,-0.082,13.1
13.2,,0.029,0.002,,-0.127,-0.006,,-0.025,-0.072,13.2
13.3,,0.095,-0.044,,0.157,-0.202,,-0.182,-0.017,13.3
13.4,,0.228,0.036,,-0.037,-0.261,,-0.099,-0.066,13.4
13.5,,0.059,0.001,,0.148,-0.006,,0.029,0.004,13.5
13.6,,0.028,-0.081,,-0.048,-0.091,,-0.027,0.005,13.6
13.7,,-0.16,-0.219,,-0.063,-0.122,,-0.13,-0.279,13.7
13.8,,0.088,0.015,,-0.006,-0.117,,0.035,0.195,13.8
13.9,,0.075,-0.026,,-0.067,-0.152,,0.188,0.256,13.9
14,,0.028,0.129,,-0.111,-0.046,,0.153,0.165,14
14.1,,-0.032,-0.056,,-0.083,0.302,,0.41,0.28,14.1
14.2,,0.083,0.207,,-0.116,0.028,,0.053,-0.108,14.2
14.3,,-0.138,-0.02,,-0.017,-0.197,,0.072,-0.258,14.3
14.4,,-0.046,0.271,,0.023,0.109,,0.036,-0.098,14.4
14.5,,-0.019,0.084,,0.201,0.22,,0.093,-0.348,14.5
14.6,,-0.373,-0.395,,-0.054,0.037,,-0.008,-0.048,14.6
14.7,,-0.139,-0.321,,0.158,0.078,,-0.26,-0.124,14.7
14.8,,-0.198,-0.037,,0.052,-0.063,,0.116,-0.043,14.8
14.9,,-0.032,-0.087,,-0.159,-0.161,,-0.33,0.079,14.9
15,,-0.205,-0.132,,0.058,0.01,,-0.232,0.131,15
