K,Div,0,0.5,1,,CL,Div,0,-0.5,-1,,MG,Div,0,1,2
,6.6,0.140,-0.099,-0.705,,,6.6,-1.151,-0.428,-0.000,,,6.6,0.242,-1.361,-1.544
,6.7,0.200,0.026,-0.989,,,6.7,-0.945,-0.384,-0.171,,,6.7,0.270,-1.137,-1.023
,6.8,0.257,-0.116,-1.095,,,6.8,-0.592,-0.263,-0.276,,,6.8,0.197,-0.985,-0.433
,6.9,0.321,-0.153,-1.191,,,6.9,-0.269,-0.072,-0.486,,,6.9,0.188,-0.706,0.381
,7,0.350,-0.192,-1.079,,,7,-0.173,-0.045,-0.465,,,7,0.108,-0.389,0.915
,7.1,0.338,-0.107,-0.982,,,7.1,0.138,0.110,-0.463,,,7.1,0.150,-0.137,1.463
,7.2,0.307,-0.048,-0.824,,,7.2,0.271,0.120,-0.381,,,7.2,0.145,0.284,1.838
,7.3,0.396,-0.149,-0.655,,,7.3,0.280,0.202,-0.302,,,7.3,-0.072,0.515,1.996
,7.4,0.338,-0.020,-0.381,,,7.4,0.370,0.290,-0.201,,,7.4,0.006,0.680,1.836
,7.5,0.366,0.186,-0.143,,,7.5,0.403,0.235,-0.116,,,7.5,0.004,0.773,1.632
,7.6,0.341,0.180,0.089,,,7.6,0.506,0.327,-0.016,,,7.6,0.002,0.765,1.202
,7.7,0.223,0.169,0.316,,,7.7,0.574,0.352,0.161,,,7.7,0.015,0.674,0.742
,7.8,0.175,0.203,0.514,,,7.8,0.527,0.232,0.264,,,7.8,-0.009,0.608,0.350
,7.9,0.116,0.258,0.511,,,7.9,0.508,0.245,0.331,,,7.9,-0.014,0.482,-0.100
,8,0.017,0.170,0.460,,,8,0.452,0.174,0.338,,,8,0.037,0.344,-0.273
,8.1,-0.080,0.295,0.614,,,8.1,0.457,0.217,0.320,,,8.1,-0.062,0.040,-0.592
,8.2,0.057,0.252,0.546,,,8.2,0.312,0.189,0.364,,,8.2,0.031,-0.084,-0.799
,8.3,-0.090,0.043,0.418,,,8.3,0.235,0.077,0.399,,,8.3,-0.120,-0.138,-0.828
,8.4,0.013,0.004,0.375,,,8.4,0.147,0.136,0.316,,,8.4,-0.040,-0.247,-0.899
,8.5,-0.133,-0.008,0.176,,,8.5,0.138,0.128,0.172,,,8.5,-0.087,-0.296,-0.880
,8.6,-0.164,-0.124,0.041,,,8.6,0.000,0.026,0.098,,,8.6,-0.077,-0.358,-0.943
,8.7,-0.037,-0.110,0.017,,,8.7,-0.142,0.001,-0.023,,,8.7,-0.034,-0.388,-0.779
,8.8,-0.091,0.063,-0.154,,,8.8,-0.085,-0.122,-0.196,,,8.8,-0.104,-0.283,-0.397
,8.9,-0.031,-0.172,-0.166,,,8.9,-0.187,-0.082,-0.127,,,8.9,-0.075,-0.182,-0.345
,9,-0.116,-0.127,-0.152,,,9,-0.138,-0.087,-0.284,,,9,-0.117,-0.224,-0.085
,9.1,-0.138,-0.113,-0.272,,,9.1,-0.337,-0.147,-0.229,,,9.1,0.011,-0.125,0.253
,9.2,-0.159,-0.161,-0.458,,,9.2,-0.278,-0.076,-0.244,,,9.2,-0.113,0.110,0.271
,9.3,-0.089,-0.154,-0.350,,,9.3,-0.240,-0.156,-0.220,,,9.3,-0.120,0.128,0.338
,9.4,-0.259,-0.145,-0.231,,,9.4,-0.293,-0.182,-0.215,,,9.4,-0.018,0.092,0.583
,9.5,-0.069,-0.140,-0.155,,,9.5,-0.163,-0.129,-0.258,,,9.5,-0.004,0.130,0.496
,9.6,-0.134,0.036,-0.122,,,9.6,-0.039,-0.222,-0.169,,,9.6,0.037,0.258,0.498
,9.7,-0.059,-0.145,-0.161,,,9.7,-0.182,-0.103,-0.002,,,9.7,0.015,0.216,0.485
,9.8,-0.061,-0.250,0.035,,,9.8,-0.102,-0.129,-0.114,,,9.8,0.044,0.196,0.505
,9.9,-0.062,-0.026,0.003,,,9.9,-0.075,-0.129,-0.058,,,9.9,0.012,0.223,0.182
,10,0.040,-0.035,0.090,,,10,0.064,-0.050,0.048,,,10,0.131,0.289,0.238
,10.1,-0.092,0.023,0.150,,,10.1,0.042,-0.023,0.084,,,10.1,0.034,0.073,0.031
,10.2,0.072,0.033,0.208,,,10.2,-0.030,0.159,0.297,,,10.2,0.073,-0.057,0.062
,10.3,0.144,0.047,0.205,,,10.3,-0.003,-0.038,0.221,,,10.3,0.121,0.086,-0.119
,10.4,-0.008,0.107,0.201,,,10.4,-0.146,0.001,0.109,,,10.4,0.037,-0.121,-0.313
,10.5,0.064,0.125,0.195,,,10.5,0.042,0.132,0.010,,,10.5,-0.025,-0.241,-0.185
,10.6,0.062,0.086,0.097,,,10.6,0.087,0.071,0.097,,,10.6,0.003,-0.420,-0.309
,10.7,0.183,0.167,0.187,,,10.7,0.065,0.017,0.083,,,10.7,0.047,-0.199,-0.271
,10.8,0.204,0.207,0.014,,,10.8,0.120,0.078,0.153,,,10.8,-0.152,-0.276,-0.341
,10.9,0.108,0.218,0.097,,,10.9,0.068,0.105,0.161,,,10.9,0.108,-0.175,-0.268
,11,0.059,0.033,-0.006,,,11,0.151,0.076,0.115,,,11,-0.035,-0.036,-0.135
,11.1,0.196,0.067,0.010,,,11.1,0.047,0.030,-0.016,,,11.1,0.023,-0.008,-0.387
,11.2,0.070,0.222,0.006,,,11.2,0.252,0.097,0.042,,,11.2,0.092,-0.023,-0.066
,11.3,0.019,0.131,-0.008,,,11.3,0.088,0.173,0.009,,,11.3,0.096,0.016,0.057
,11.4,0.066,0.104,-0.118,,,11.4,0.117,0.133,0.042,,,11.4,0.195,0.006,-0.004
,11.5,0.151,0.023,-0.169,,,11.5,0.125,-0.069,-0.112,,,11.5,-0.001,0.079,0.212
,11.6,-0.068,-0.041,-0.064,,,11.6,0.097,-0.092,-0.005,,,11.6,0.096,0.118,0.260
,11.7,0.011,-0.053,-0.244,,,11.7,0.027,-0.035,-0.303,,,11.7,0.051,0.095,0.186
,11.8,0.129,-0.187,-0.138,,,11.8,0.067,0.119,-0.091,,,11.8,-0.156,0.131,0.280
,11.9,-0.160,-0.232,-0.030,,,11.9,-0.124,0.068,-0.078,,,11.9,-0.111,0.066,0.166
,12,-0.170,-0.215,-0.172,,,12,0.081,0.109,-0.140,,,12,-0.025,0.336,0.195
,12.1,-0.297,-0.181,0.015,,,12.1,-0.027,-0.028,0.022,,,12.1,-0.177,0.204,0.126
