r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
9.2,-307.743762,-307.750229,-292.823871,-292.678789,-280.075888,-279.955215,-262.566437,-262.457919,-238.078619,-238.234747,-220.720980,-220.900395,-217.227115,-216.916598,-224.499487,-223.763556
9.3,-308.932421,-308.935182,-293.083737,-292.929301,-278.774045,-278.640454,-262.089114,-262.000115,-239.544237,-239.585040,-222.219811,-222.258907,-216.107408,-215.804157,-222.449338,-221.739700
9.4,-310.614920,-310.611481,-293.150423,-292.972799,-277.211797,-277.064436,-261.332279,-261.268307,-241.220164,-240.996639,-223.552790,-223.456335,-214.908819,-214.928260,-220.384660,-219.616021
9.5,-311.784658,-311.759869,-293.322049,-293.181572,-275.794448,-275.637598,-260.447205,-260.481916,-241.598910,-241.455294,-225.306340,-225.241389,-214.162492,-214.172587,-217.370404,-216.676177
9.6,-312.527546,-312.481937,-293.168699,-293.119511,-274.810842,-274.652328,-258.782476,-258.838471,-242.078429,-241.835271,-227.156268,-226.990224,-213.790470,-213.947408,-214.573334,-214.004260
9.7,-312.988290,-312.931828,-292.972448,-292.889561,-274.225872,-274.129041,-257.099696,-257.223481,-242.340054,-242.234586,-228.377916,-228.265321,-214.433931,-214.493889,-212.236487,-211.708119
9.8,-313.332930,-313.256923,-293.652728,-293.589529,-273.449820,-273.420582,-256.023666,-256.206566,-242.243670,-242.155600,-229.878472,-229.787528,-215.467713,-215.221259,-210.128951,-209.797376
9.9,-313.676559,-313.605596,-293.524024,-293.431136,-272.847804,-272.776244,-254.821122,-255.090475,-242.019315,-242.012241,-230.779660,-230.578239,-216.706192,-216.610142,-208.616373,-208.822419
10,-313.636641,-313.581010,-292.919815,-292.850073,-272.565414,-272.530290,-253.577111,-253.783015,-241.949887,-242.060720,-231.493735,-231.202921,-218.031879,-217.891326,-208.037131,-208.405358
10.1,-312.847736,-312.784380,-293.237009,-293.189193,-272.808999,-272.838433,-252.804518,-252.959034,-241.136201,-241.200474,-232.599424,-232.299315,-219.520590,-219.396130,-208.035317,-208.522141
10.2,-311.382228,-311.337345,-292.921094,-292.988309,-273.066321,-273.089666,-252.393177,-252.467727,-241.113029,-241.165007,-232.502685,-232.184446,-220.607106,-220.416407,-208.718486,-209.408852
10.3,-310.544093,-310.489750,-292.563946,-292.622506,-272.793589,-272.899504,-252.079665,-252.230263,-240.629490,-240.619771,-231.804942,-231.701464,-221.502598,-221.421638,-210.180755,-210.864510
10.4,-309.336915,-309.293730,-292.203792,-292.266556,-272.394013,-272.545309,-252.382615,-252.438509,-240.581270,-240.579957,-231.388669,-231.344040,-222.397884,-222.299637,-211.155891,-212.073732
10.5,-308.570803,-308.553702,-291.970165,-292.047969,-272.717013,-272.782809,-253.195367,-253.301950,-240.750930,-240.818784,-230.560889,-230.686242,-223.145957,-223.186593,-212.898907,-213.802666
10.6,-307.725123,-307.714939,-290.980374,-291.018786,-272.978397,-272.994396,-253.216156,-253.278000,-240.449746,-240.377870,-229.468760,-229.440321,-223.635157,-223.603015,-213.674186,-214.411846
10.7,-307.611518,-307.609263,-290.387319,-290.448137,-273.479958,-273.500483,-254.047068,-254.086449,-239.515648,-239.536859,-229.033537,-228.929123,-224.133242,-224.175631,-215.293054,-215.847429
10.8,-307.477830,-307.494627,-290.271745,-290.348454,-274.050562,-274.079559,-255.095206,-255.034246,-239.282229,-239.267191,-229.522954,-229.304704,-224.339922,-224.458372,-216.183730,-216.478544
10.9,-307.265821,-307.297994,-290.152762,-290.176122,-274.863135,-274.846505,-256.309036,-256.206559,-238.723814,-238.774028,-229.214662,-228.931082,-224.212342,-224.593422,-216.181906,-216.361786
11,-307.793802,-307.842663,-290.114409,-290.128373,-275.099900,-274.982494,-256.669896,-256.593017,-238.559667,-238.604140,-228.866352,-228.608824,-224.274995,-224.478325,-216.804213,-216.862330
11.1,-308.509456,-308.588855,-290.632634,-290.631236,-274.781628,-274.663999,-256.915261,-256.832889,-238.698877,-238.774615,-228.397765,-228.284492,-224.358050,-224.540530,-217.291881,-217.139234
