r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
3.9,-146.935828,-147.099097,-374.697571,-374.599667,-332.433316,-332.689925,-237.990866,-237.836421,-207.674225,-207.629489,-132.885111,-132.223328,-102.215958,-102.232279,-78.571937,-78.579223
4,-109.393320,-109.473530,-317.250218,-317.201801,-371.256925,-371.291982,-266.914271,-266.720584,-213.755323,-213.816064,-134.552337,-133.527553,-108.681010,-108.649419,-84.000363,-84.173421
4.1,-88.477598,-88.512517,-255.236086,-255.245162,-387.446069,-387.764122,-293.648244,-293.437101,-217.598910,-217.506480,-137.994943,-136.872213,-115.290148,-115.339221,-89.559867,-90.023018
4.2,-79.131989,-79.161039,-198.499452,-198.513813,-382.170673,-382.377674,-316.147444,-316.061851,-221.422860,-221.255374,-143.666538,-142.609097,-122.729178,-122.815525,-95.898488,-96.619117
4.3,-78.646199,-78.647085,-155.595491,-155.710958,-360.608402,-360.838237,-333.788273,-333.593143,-224.544552,-224.887970,-151.524095,-150.353507,-130.166598,-130.354568,-101.605526,-102.443775
4.4,-86.696643,-86.658463,-131.121063,-131.431556,-331.147360,-331.296284,-346.718389,-346.672691,-228.695584,-229.019032,-160.488458,-159.457487,-138.135750,-138.328186,-107.791964,-108.747352
4.5,-104.957750,-104.855063,-126.749035,-126.873402,-300.522376,-300.636913,-355.012836,-355.093102,-233.631195,-234.053412,-171.304278,-170.565351,-146.146758,-146.573265,-113.436589,-114.422566
4.6,-134.180403,-134.091634,-138.613899,-138.599082,-276.254409,-276.315640,-359.473074,-359.469140,-240.522314,-241.231896,-182.784271,-182.153512,-154.405740,-154.647344,-119.425032,-120.407784
4.7,-174.433921,-174.350861,-163.168355,-163.055387,-260.187243,-260.137372,-356.121036,-356.400856,-248.664838,-249.217551,-195.439999,-195.074535,-162.093674,-162.328698,-125.936515,-126.718617
4.8,-223.346240,-223.268829,-196.016944,-195.868431,-252.321591,-252.232488,-341.427265,-341.846818,-257.691362,-258.368208,-207.786303,-207.667863,-170.231381,-170.510909,-131.611821,-132.669624
4.9,-277.828845,-277.771684,-233.164788,-232.889886,-250.937697,-250.889213,-317.449712,-317.965632,-267.741937,-268.680726,-220.696228,-220.750597,-177.988482,-177.826767,-137.959559,-138.437327
5,-331.169373,-331.124022,-269.968516,-269.711633,-251.080714,-250.948949,-288.738802,-289.247494,-279.569361,-280.346493,-233.644170,-234.128045,-185.699899,-185.426651,-144.568273,-144.441553
5.1,-380.643701,-380.571483,-302.782038,-302.556377,-252.108491,-252.017691,-259.225755,-259.754562,-288.847491,-289.353312,-245.243678,-245.925414,-192.709581,-192.373713,-151.238656,-150.649047
5.2,-420.385773,-420.351772,-328.287391,-328.142937,-251.102756,-251.014511,-232.830632,-233.307713,-292.988366,-293.212695,-256.601453,-257.303819,-199.985598,-199.606334,-158.244539,-156.806339
5.3,-448.288641,-448.319974,-346.168404,-346.000036,-249.446536,-249.232139,-211.885127,-212.203556,-287.240242,-287.074843,-266.685464,-267.230766,-206.949780,-206.519955,-164.783297,-163.344373
5.4,-463.298798,-463.329899,-356.671032,-356.542551,-247.491641,-247.330160,-197.259289,-197.187393,-274.213766,-273.678024,-275.745440,-275.939763,-213.921190,-213.742524,-171.975642,-170.580853
5.5,-466.017994,-466.043367,-361.924076,-361.858648,-246.698830,-246.410424,-189.221099,-188.952858,-256.836509,-256.223804,-283.138296,-283.192965,-220.258273,-219.830716,-178.491791,-177.098211
5.6,-457.129703,-457.096547,-363.009025,-363.042532,-247.783135,-247.688003,-187.888428,-187.709462,-239.932353,-239.124797,-287.502765,-287.288998,-227.889428,-227.576960,-185.470807,-184.025087
5.7,-438.396406,-438.374285,-360.162854,-360.170746,-251.790117,-251.676559,-191.616478,-191.153833,-224.657760,-224.202298,-285.601467,-285.522709,-235.284167,-234.974467,-192.128982,-191.311876
5.8,-412.761055,-412.719383,-354.979133,-355.036567,-258.658090,-258.673188,-199.086657,-198.629597,-213.614065,-213.336308,-276.663863,-276.604955,-242.781521,-242.929220,-198.631742,-198.350402
5.9,-382.762756,-382.753553,-348.041700,-348.109107,-266.674588,-266.735199,-209.847768,-209.174981,-206.487682,-206.164751,-261.618349,-261.466102,-250.674138,-250.380555,-205.722695,-205.666865
6,-352.263111,-352.220684,-339.735095,-339.848376,-276.089082,-276.253374,-222.189530,-221.707118,-202.921600,-202.956877,-244.202961,-244.038944,-258.359085,-258.724515,-213.165526,-213.472109
