r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
11.3,-10.356892,16.655159,-33.948217,49.368244,-63.010371,76.672000,-90.442747,100.913862,-109.378560,118.459076,-118.045753,129.913969,-129.100983,136.318790,-135.333778,141.956952
11.4,-10.278770,16.751640,-33.970369,49.328148,-63.202921,76.539489,-90.687186,100.773502,-108.841831,118.995534,-117.386521,130.649829,-128.593128,136.600817,-135.455431,141.750732
11.5,-10.410971,16.626827,-34.124392,49.159959,-63.500577,76.321617,-90.835520,100.623215,-108.415090,119.534049,-117.432207,130.758789,-128.081585,136.767735,-135.055866,141.884742
11.6,-10.533561,16.511998,-34.869003,48.411951,-63.462670,76.444455,-90.584017,100.842506,-108.483258,119.503405,-117.303425,130.744349,-127.809324,136.931180,-134.878927,141.881044
11.7,-10.489921,16.538721,-36.092448,47.221236,-63.399240,76.510789,-90.392149,101.037581,-108.278616,119.617157,-117.973369,130.098773,-128.031699,136.456878,-134.434800,142.139141
11.8,-10.901162,16.146514,-36.755066,46.544965,-63.400223,76.509862,-89.963041,101.475509,-107.755626,120.194809,-118.156875,129.973318,-127.975716,136.484343,-133.456421,143.131621
11.9,-10.506335,16.539925,-37.609787,45.676993,-63.916491,76.094915,-89.159925,102.262258,-107.649085,120.221385,-118.461448,129.628049,-127.567496,136.855412,-132.999683,143.568911
12,-10.721077,16.334501,-38.544964,44.766399,-63.998275,75.956498,-88.416446,103.077906,-107.058526,120.819203,-119.000908,129.097810,-126.775620,137.845059,-132.337694,144.145133
12.1,-10.500368,16.534816,-39.350765,43.972656,-64.199191,75.757926,-88.223452,103.312772,-106.876931,121.040141,-119.113667,128.950142,-126.611060,138.121603,-131.946345,144.379294
12.2,-10.186433,16.847291,-39.183731,44.162022,-64.376272,75.577572,-88.233237,103.312925,-106.906295,121.079567,-119.293686,128.720885,-126.389933,138.282040,-131.438681,144.521945
12.3,-10.308051,16.699518,-39.001703,44.289721,-65.071250,74.784630,-88.559389,102.901872,-106.822664,121.151751,-119.473771,128.559755,-126.580582,138.155528,-131.449735,144.670961
12.4,-10.231962,16.774439,-38.264413,45.019694,-65.111758,74.681374,-88.122031,103.307274,-107.314862,120.638198,-119.205995,128.779813,-126.722242,137.993679,-131.436268,144.756046
12.5,-10.135616,16.863842,-38.223835,44.987548,-64.967838,74.777894,-88.214705,103.272550,-107.646798,120.275209,-119.408861,128.845448,-126.384629,138.391640,-132.108139,144.125605
12.6,-10.883974,16.119086,-37.650677,45.571734,-64.768884,74.888156,-88.213682,103.369124,-108.145847,119.786007,-118.875010,129.535697,-126.837387,137.984177,-132.487044,143.639850
12.7,-10.670726,16.321458,-37.436904,45.756489,-64.629785,74.980236,-88.342490,103.175465,-108.012072,119.916463,-118.307176,130.172347,-127.253244,137.650630,-132.654850,143.552077
12.8,-9.716759,17.257013,-37.269693,45.919546,-64.394442,75.158581,-88.385952,103.156344,-108.454883,119.521122,-118.442674,130.075051,-127.445193,137.563487,-133.378709,142.954312
12.9,-9.345798,17.607443,-36.982795,46.188184,-64.254767,75.203000,-88.769778,102.744659,-108.233328,119.813195,-118.096249,130.543848,-127.169484,137.987990,-133.476313,142.984895
13,-9.577818,17.372764,-36.625839,46.531412,-64.461108,75.083448,-88.798880,102.783371,-108.599887,119.620867,-118.447273,130.167790,-126.777832,138.508683,-133.986252,142.643471
13.1,-9.496820,17.442258,-36.766124,46.366700,-64.832845,74.779142,-88.648437,102.908175,-108.482600,119.710004,-118.514199,130.022307,-126.675611,138.553145,-134.157026,142.655783
13.2,-9.238954,17.703882,-36.768398,46.359802,-65.047997,74.570444,-89.046027,102.606103,-108.944467,119.316049,-118.213818,130.240247,-126.565114,138.729612,-133.753293,142.935020
13.3,-9.530002,17.424935,-37.232908,45.927975,-64.915183,74.785115,-89.215258,102.364057,-108.797951,119.395142,-118.553606,129.877325,-126.344507,138.922219,-133.711368,143.229426
13.4,-9.641118,17.325321,-37.528230,45.678770,-65.223053,74.464531,-89.863744,101.722898,-108.578114,119.522864,-118.470426,129.858291,-126.582055,138.636678,-133.212517,143.642170
13.5,-10.144087,16.848295,-37.107395,46.124583,-64.817163,74.953960,-89.850098,101.713636,-108.705406,119.330120,-118.982094,129.370218,-126.497627,138.672006,-133.667759,143.245028
13.6,-10.273481,16.730661,-37.251816,45.996040,-64.787131,75.013767,-90.002988,101.599607,-108.552191,119.265036,-118.443764,129.875519,-126.846233,138.173770,-133.385260,143.554790
13.7,-10.269559,16.738904,-36.833015,46.449225,-64.237920,75.580203,-89.677641,101.876383,-108.188192,119.472522,-118.375636,129.951142,-126.853402,138.045506,-133.161926,143.770770
13.8,-10.103102,16.906555,-36.554708,46.744499,-63.570408,76.306476,-89.300934,102.274898,-108.004190,119.638500,-118.122972,130.211765,-126.989334,137.917136,-132.708597,144.093998
13.9,-10.144903,16.888517,-36.103693,47.210718,-63.076928,76.820829,-89.229438,102.263900,-107.909906,119.722377,-118.052655,130.273271,-127.461653,137.413542,-132.435842,144.408899
14,-10.605615,16.436235,-35.807716,47.494308,-62.740029,77.171692,-89.170841,102.241330,-108.224814,119.372527,-118.178460,130.138212,-127.485955,137.312390,-132.668571,144.067146
14.1,-10.244419,16.806142,-35.817014,47.476755,-63.217760,76.697584,-89.095525,102.241873,-108.646482,118.952320,-118.558874,129.855923,-127.917760,137.068938,-132.467805,144.171528
14.2,-9.968223,17.085584,-35.778790,47.527197,-63.367929,76.558252,-88.612243,102.744303,-108.632951,119.008859,-118.408295,129.851828,-127.869198,137.216240,-132.142594,144.528200
14.3,-9.960349,17.073224,-35.887098,47.445628,-63.556960,76.411178,-88.409113,102.976124,-108.449219,119.222868,-118.583351,129.698053,-127.357792,137.699977,-131.570426,145.009223
14.4,-9.947032,17.116151,-35.978703,47.349458,-63.295457,76.582738,-88.539473,102.882663,-108.460510,119.268360,-119.007655,129.257679,-127.198996,137.920578,-132.083867,144.287228
14.5,-9.650686,17.395057,-36.396559,46.897826,-63.601596,76.262478,-88.301923,103.112450,-108.823384,118.974998,-119.747395,128.538965,-127.026448,138.091050,-131.874364,144.617889
14.6,-9.939438,17.095206,-36.682120,46.568677,-63.953953,75.895204,-88.531389,102.925642,-108.693113,119.092583,-119.725046,128.650967,-126.808900,138.321282,-132.021123,144.326365
14.7,-9.714997,17.310723,-37.311145,45.967559,-63.536202,76.215344,-88.646987,102.750238,-108.192829,119.715923,-119.517649,128.854387,-126.708664,138.433472,-132.437073,144.030821
14.8,-9.743483,17.247600,-37.786764,45.469860,-63.743864,76.003733,-88.746771,102.716181,-108.357377,119.623066,-119.648573,128.681800,-126.705551,138.452002,-132.784021,143.695664
14.9,-9.484592,17.494957,-37.281187,45.916431,-64.117666,75.581916,-88.520640,102.792669,-108.379126,119.652170,-119.268633,129.158128,-126.394794,138.659331,-133.015773,143.460361
15,-9.628394,17.333328,-37.187496,45.984733,-63.823408,75.846468,-88.720889,102.672562,-108.412487,119.630219,-119.422941,128.964567,-126.361413,138.678230,-133.653379,142.937309
