r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
7.1,-9.284357,-9.233246,4.713449,4.725736,18.323497,18.407648,15.825491,15.874399,6.338712,6.484057,-2.269325,-1.840785,1.122035,1.109739,17.090351,17.184574
7.2,-10.617493,-10.572603,-0.115823,-0.050019,15.288669,15.321675,16.535040,16.616155,9.062064,9.053601,-0.292423,0.198232,-1.065197,-1.088376,15.255854,15.362173
7.3,-10.596145,-10.522848,-3.608062,-3.579638,11.800801,11.736311,16.771547,16.846359,11.186500,11.202924,2.501910,2.827231,-2.188071,-2.122730,12.331690,12.486263
7.4,-10.199269,-10.134651,-6.084497,-6.043783,8.767698,8.632721,16.871329,16.902950,13.327688,13.291747,4.371719,4.671029,-2.265305,-2.140554,9.143060,9.188676
7.5,-8.630580,-8.593839,-6.759251,-6.725961,5.752325,5.592407,16.163342,16.166666,14.977730,14.878049,7.126219,7.238534,-1.467693,-1.428782,5.198006,5.103307
7.6,-6.453559,-6.437487,-6.774363,-6.724821,3.470109,3.331033,15.623782,15.523632,16.177162,16.020748,9.118052,9.243257,-0.024877,0.229355,2.145973,2.292678
7.7,-3.644745,-3.632611,-6.031521,-5.977905,1.019473,0.913253,14.463304,14.324656,17.409695,17.209290,11.245188,11.391245,1.806312,1.912491,-0.255137,-0.061272
7.8,-0.727152,-0.706817,-4.504540,-4.504277,-0.361640,-0.372357,12.419001,12.264220,18.026763,17.805465,12.781911,12.828741,3.291565,3.534640,-1.646283,-1.680735
7.9,1.829193,1.843363,-2.340893,-2.396048,-0.688809,-0.722154,10.884745,10.802667,18.475130,18.247974,13.994959,14.020308,5.001610,5.168303,-2.378489,-2.289952
8,4.967217,4.984785,0.061375,0.022223,-0.443953,-0.503228,9.021162,8.910004,17.903306,17.704017,15.346374,15.431147,7.078376,7.148155,-2.781864,-2.764984
8.1,7.701981,7.689851,1.851727,1.859438,0.457424,0.478897,7.582867,7.468478,16.780675,16.554489,15.948100,15.986587,9.149991,9.297935,-1.279107,-1.324294
8.2,9.946995,9.910888,4.249588,4.245695,1.674825,1.710242,6.245475,6.118786,16.360786,16.172086,16.690112,16.625816,10.746926,10.776576,-0.004389,-0.021755
8.3,11.969084,11.953482,6.739776,6.678158,2.868201,2.919062,4.913925,4.921065,14.774865,14.604660,16.613618,16.558245,11.963588,12.030720,2.079911,2.108663
8.4,13.493299,13.511935,8.947155,8.884461,4.544241,4.595906,3.938963,3.941073,13.073243,12.944699,16.524837,16.307132,12.869037,12.846381,4.314455,4.277154
8.5,14.980338,15.010363,10.303025,10.227216,5.728581,5.796075,3.595013,3.634031,11.450536,11.359544,15.618232,15.368437,13.700771,13.518617,6.808669,6.850120
8.6,15.801069,15.795235,12.012671,11.993351,7.260988,7.301438,3.992858,4.010330,9.755619,9.761296,14.617138,14.371128,14.158512,14.118372,8.858492,8.824763
