r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
7.8,3.869602,3.547322,1.377626,0.756050,2.367111,2.560242,9.510799,11.252528,16.077719,16.937901,17.055377,14.921495,8.903965,4.328714,2.903037,0.610912
7.9,6.209957,5.881731,3.578302,2.927209,2.972892,2.692224,8.751771,10.082019,15.172495,16.474349,16.845900,15.398504,10.469432,6.431666,4.369602,0.938874
8,8.378160,8.054741,5.908485,5.256191,3.984922,3.327625,7.607688,8.475901,14.148415,15.726928,16.461225,15.695887,11.883046,8.390339,5.519209,1.301396
8.1,10.057762,9.741164,8.023872,7.341046,4.844062,3.983595,6.824696,7.175043,13.315222,14.899686,16.309696,16.124710,13.121693,9.953878,7.240700,2.432319
8.2,11.801663,11.521759,9.770807,9.101652,5.711990,4.700287,6.686861,6.624593,11.986630,13.496566,15.374794,15.725566,13.927195,11.165928,8.300751,3.452706
8.3,13.448689,13.186120,11.372519,10.758752,6.627954,5.602721,6.381870,5.861609,10.509093,11.878149,14.728461,15.467453,14.735392,12.715089,9.771859,5.172029
8.4,14.612685,14.419814,12.354598,11.770508,7.991589,6.948243,6.585721,5.838499,8.965955,10.156349,13.825609,15.069040,14.900671,13.497550,10.846019,6.499639
8.5,15.393718,15.228107,13.136997,12.611539,9.286896,8.292795,6.719679,5.789893,7.784437,8.656239,12.950273,14.326119,15.418190,14.539952,12.144712,8.192574
8.6,15.674897,15.554096,13.653110,13.242961,10.254467,9.276471,6.776009,5.638551,7.104024,7.598025,11.555036,13.221721,15.365707,15.192208,12.883759,9.375746
8.7,15.598110,15.530912,13.897580,13.594304,10.821113,9.825530,6.925206,5.798632,6.328843,6.496991,10.634785,12.150929,15.072845,15.377940,13.694211,10.756630
8.8,15.689028,15.663891,13.776170,13.576028,11.762272,10.922858,7.827042,6.604205,5.894574,5.713382,9.524963,10.878188,14.179238,15.034104,14.246365,12.052800
8.9,15.533311,15.543966,13.366958,13.243236,12.266907,11.578741,8.491347,7.368732,5.805171,5.349254,8.473889,9.667959,13.621102,14.925694,14.008004,12.507833
9,15.176885,15.208250,13.113967,13.055350,12.310968,11.716008,8.919663,7.844304,6.059205,5.263917,7.817645,8.458278,12.917780,14.402644,14.148990,13.245838
9.1,14.576032,14.616905,12.485114,12.449944,12.162686,11.705463,9.841578,8.918979,6.622866,5.631119,6.953488,7.278544,11.943171,13.520751,13.925379,13.736599
9.2,13.383642,13.422591,12.232414,12.260886,12.263349,11.973270,10.455853,9.699576,7.050112,5.913141,6.506811,6.520173,11.017997,12.549941,13.765506,14.209926
9.3,12.982772,13.029703,11.898946,11.928872,12.277045,12.064215,11.067984,10.357949,7.945656,6.715164,5.952496,5.731380,10.064645,11.484842,13.139530,14.285326
9.4,12.158660,12.194334,11.660039,11.647068,11.969737,11.829342,11.193870,10.567205,8.648329,7.462916,5.814225,5.286242,9.230789,10.344458,12.419225,13.954158
9.5,10.701564,10.701338,11.177059,11.144236,11.160929,11.118002,10.992850,10.572920,9.058580,7.920673,6.049461,5.406690,8.798708,9.582244,11.592060,13.531791
9.6,9.488562,9.471553,10.666440,10.631307,11.096113,11.070562,10.919681,10.634497,9.256067,8.168785,6.657430,5.880937,8.206075,8.539491,10.916884,13.014337
9.7,8.314312,8.301381,10.177029,10.162757,10.957781,10.983284,10.498734,10.265703,9.800862,8.655110,7.123774,6.326961,7.831307,7.775031,9.995251,12.060924
9.8,7.692248,7.679181,9.714156,9.727585,10.223759,10.299629,9.997899,9.881437,9.969363,8.928947,8.200807,7.389151,7.399766,6.923264,9.425270,11.150795
9.9,7.045122,7.026701,9.235406,9.299261,9.403924,9.490640,9.771498,9.661707,10.286258,9.273537,8.810833,7.956301,6.971372,6.260568,8.640669,9.900788
10,6.266563,6.239152,8.769954,8.825683,9.276840,9.356616,9.828235,9.678070,10.112759,9.217065,9.279324,8.334360,6.683225,5.771450,8.142936,8.815183
10.1,6.114244,6.086582,8.137013,8.204210,8.998131,9.047343,9.849011,9.597769,10.097992,9.359279,9.722864,8.694761,6.639124,5.575139,7.678289,7.646298
10.2,5.925782,5.895106,7.694954,7.793036,8.822871,8.792971,9.696093,9.369834,10.084163,9.456559,10.163464,9.158820,6.690911,5.463245,7.240565,6.805115
10.3,6.014213,5.985366,7.530257,7.596842,8.714800,8.681745,9.622121,9.319594,10.379885,9.888986,10.594241,9.556127,6.776377,5.512087,7.315838,6.466949
10.4,6.481764,6.456454,7.482428,7.559529,8.804363,8.712760,8.928557,8.585828,10.633358,10.319983,10.423600,9.306296,7.298431,5.998748,7.256546,6.129248
10.5,7.088675,7.056436,7.806024,7.856200,8.399272,8.304512,8.429885,8.126033,10.856113,10.668661,10.727182,9.736330,7.895832,6.817412,7.645385,6.230916
10.6,7.101068,7.052103,7.792722,7.819299,8.179262,7.983388,8.293937,7.991418,10.770689,10.700066,10.924383,9.965312,8.591802,7.624737,7.733117,6.342151
10.7,7.454881,7.404217,7.852316,7.918485,8.344447,8.143179,7.984453,7.597696,10.905630,10.884473,11.254003,10.380679,9.404094,8.436831,8.377859,6.922963
10.8,8.047700,7.979611,7.836441,7.877296,8.319058,8.059600,8.301621,7.916567,10.801343,10.802965,11.118136,10.444672,9.543178,8.809314,8.945433,7.389221
10.9,8.489349,8.427697,8.258707,8.253316,8.430405,8.195849,8.866590,8.473491,10.397462,10.355790,10.967000,10.459509,9.969024,9.189452,9.210828,7.719820
11,9.007405,8.928574,8.061822,7.999743,8.853768,8.683048,9.120667,8.723337,10.191776,10.147920,11.099680,10.660243,10.953138,10.050842,9.594864,8.285890
11.1,9.496597,9.416612,8.602801,8.511491,8.901491,8.752868,9.477090,9.096067,10.126519,10.034745,11.058690,10.778721,11.497346,10.554809,9.588320,8.418141
11.2,10.064655,9.974336,8.955362,8.820258,9.225985,9.069109,10.044868,9.698842,10.227132,9.967452,10.828546,10.659449,11.823030,10.905376,10.107862,9.123744
11.3,10.544471,10.442781,9.073980,8.932408,9.270410,9.106149,9.978842,9.706390,10.519764,10.160932,10.991933,10.887978,12.435861,11.582437,10.516042,9.662727
11.4,11.214802,11.114767,9.262314,9.111091,9.292769,9.123907,10.152840,9.840199,10.288116,9.853653,10.711846,10.599166,12.209194,11.521412,11.058792,10.393148
11.5,11.678906,11.580308,9.680450,9.519350,9.632228,9.394945,10.407399,10.106034,10.121273,9.694788,10.678582,10.444674,12.041288,11.561063,11.516846,11.023389
11.6,11.791862,11.688947,9.822611,9.640403,9.912539,9.584948,10.572795,10.265664,10.179342,9.695091,10.312723,10.073420,11.834778,11.432496,11.655330,11.286482
11.7,11.666281,11.575802,10.555597,10.351452,9.998445,9.700097,10.502495,10.228268,10.378295,9.913816,10.144033,9.855883,12.257274,11.999045,11.382608,11.187485
11.8,11.902250,11.808492,10.318840,10.128025,9.810754,9.523212,10.246810,9.981676,9.750360,9.293678,10.045748,9.737598,12.133979,11.913098,11.315262,11.091270
11.9,11.405976,11.314238,10.775035,10.607131,10.193842,9.834859,9.791967,9.526088,9.794401,9.335947,9.909564,9.527963,11.590733,11.456900,11.123369,10.831369
12,11.667124,11.576916,11.104509,10.939133,10.203928,9.860518,9.651457,9.348404,9.341701,8.916633,9.832538,9.550195,10.965672,10.638605,10.938365,10.680528
12.1,11.323399,11.252775,11.458457,11.322621,10.016775,9.686490,9.784965,9.479828,9.131026,8.724442,9.969050,9.731433,10.483633,10.236522,10.881839,10.753000
12.2,10.942399,10.879167,10.993556,10.862250,9.997293,9.656392,9.706924,9.444725,8.975006,8.486572,10.151678,9.955674,9.961316,9.702843,10.368318,10.335015
12.3,10.605004,10.564654,10.725598,10.617883,10.030617,9.739968,9.898646,9.711025,9.227716,8.660947,10.060937,9.796396,9.842702,9.491234,10.235766,10.107757
12.4,10.246681,10.218857,10.189200,10.088504,9.814514,9.573055,9.687190,9.514863,9.190152,8.611234,9.922362,9.734649,9.341117,9.037290,10.035596,9.784884
12.5,9.755312,9.743372,10.057144,10.007944,9.726546,9.505904,9.546000,9.322809,9.226384,8.729836,9.950963,9.638297,8.680151,8.416037,10.017953,9.741485
12.6,9.705724,9.690792,9.296353,9.275451,9.365607,9.178324,9.410272,9.058897,9.303573,8.787154,9.444222,8.925780,8.465315,8.211781,10.017354,9.805558
